	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	460.98	83421446	157.508504	-35.461196	35	34	103002.04-352740.3	57630.0201	0	0	4	2	1	0.564									20.8933	0.0341	21.2211	0.1457	20.7172	0.0562	20.88	0.1047									15.0	
☄	461.05	83430182	157.641515	-35.277975	19	32	103033.96-351640.7	57600.396	0	0	14	2	1	0.977									20.6362	0.0138	20.5712	0.0906	19.6715	0.0184	19.7211	0.0591	18.5531	0.0149	18.6563	0.0626	18.1044	0.0221	18.1625	0.0412	15.0	
☄	461.23	83430157	157.58767	-35.227068	27	54	103021.04-351337.4	57668.3382	0	0	5	1	1	0.518													20.4983	0.0553	20.1144	0.1807	19.9232	0.0424	19.7933	0.1443	19.2068	0.073	18.8632	0.1487	11.3	83430156
☄	461.5	83429000	157.403291	-35.232332	122	88	102936.78-351356.3	57219.2889	3	0	7	3	1	0.977									18.3906	0.0193	18.1884	0.1285	17.9554	0.0333	17.9006	0.0178									3.2	83428999
☄	462.58	83421505	157.573884	-35.446835	24	23	103017.73-352648.6	57472.4667	0	0	44	6	1	0.985	18.6097	0.0231	18.5843	0.0711	18.3619	0.0179	18.5365	0.059	17.0887	0.0074	17.1042	0.0078	16.7596	0.0088	16.7799	0.0111	16.5408	0.0041	16.5611	0.0075	16.4776	0.0051	16.5038	0.0138	11.7	83421503
☄	463.09	83429163	157.474411	-35.206406	31	28	102953.85-351223.0	57429.8454	0	3	36	4	1	0.984									18.4711	0.0132	18.5267	0.0201	17.4872	0.0105	17.5309	0.0167	15.8486	0.0039	15.8738	0.0059	15.2032	0.0069	15.2323	0.0061	15.0	
☄	463.16	83420373	157.461935	-35.458191	34	57	102950.86-352729.4	57593.3241	0	0	5	2	1	0.531													20.8154	0.0343	20.8064	0.1067	19.9156	0.0722	19.9718	0.1664					10.2	83420372
☄	463.29	83422106	157.612906	-35.42326	24	30	103027.09-352523.7	57623.1589	0	2	21	3	1	0.982									18.9752	0.0191	18.9662	0.0218	18.1285	0.0125	18.1497	0.0157	17.3752	0.029	17.3639	0.0306	17.0882	0.0127	17.0436	0.0467	5.6	83422107
☄	463.32	83430189	157.652005	-35.298986	55	122	103036.48-351756.3	57629.0299	0	0	6	1	1	0.484													20.3814	0.1015	19.5509	0.1107	19.7607	0.0717	19.2069	0.1704	19.2256	0.0878	18.7839	0.169	13.3	83430164
☄	463.35	83420883	157.342281	-35.336662	23	24	102922.14-352011.9	57451.001	0	0	4	1	1	0.624													20.5391	0.033	20.4292	0.1207	19.838	0.0313	19.9705	0.1076	19.3607	0.0417	19.7917	0.2516	15.0	
☄	463.57	83421499	157.555529	-35.453883	36	83	103013.32-352713.9	57630.0201	0	0	4	2	1	0.486									21.1553	0.101	21.2259	0.176	20.8554	0.0595	20.9511	0.1348									15.0	
☄	463.68	83429164	157.48261	-35.205317	81	103	102955.82-351219.1	57807.5524	0	0	2	1	1	0.18									21.2234	0.0213	21.71	0.4723	20.8537	0.0212	20.8252	0.3014									10.9	83429169
☄	464.34	83422117	157.622783	-35.414657	30	24	103029.46-352452.7	57651.2954	0	0	9	2	1	0.883									19.9438	0.0126	19.8133	0.0658	19.5959	0.0119	19.5418	0.0526	19.3261	0.0231	19.33	0.0653	19.1911	0.0366	19.3123	0.1092	9.5	83422116
☄	464.43	83428999	157.402348	-35.231901	147	111	102936.56-351354.8	57450.0997	3	5	27	2	1	0.977									18.5476	0.124	18.4893	0.0962	17.6895	0.0175	17.4986	0.0837	16.8667	0.0214	16.3972	0.0238	16.548	0.0252	16.1785	0.0237	3.2	83429000
☄	464.43	83429170	157.495425	-35.20438	32	27	102958.90-351215.7	57440.4934	0	8	38	5	1	0.985									18.4267	0.0077	18.4566	0.0478	17.4863	0.0083	17.5356	0.0098	16.4957	0.0084	16.527	0.0106	16.1013	0.0072	16.1436	0.0104	15.0	
☄	464.45	83430179	157.645877	-35.283604	36	36	103035.01-351700.9	0.0	1	9	0	0	1	0.443																									5.9	83430180
☄	464.48	83420852	157.342862	-35.348048	36	36	102922.28-352052.9	57452.4926	0	0	1	1	1	0.481																	20.0743	0.0381	19.8853	0.1615					10.7	83420848
☄	464.56	83422308	157.655302	-35.357941	724	214	103037.27-352128.5	57630.0208	0	0	2	2	1	0.03													20.9293	0.1227	20.1976	0.1383									13.4	83422321
