	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	rms_epoch	glon	glat	flags	nimaflags	ngood	ngood_min	nch_max	density	u_flags	u_nimaflags	u_ngood	u_nch	u_nclip	v_flags	v_nimaflags	v_ngood	v_nch	v_nclip	g_flags	g_nimaflags	g_ngood	g_nch	g_nclip	r_flags	r_nimaflags	r_ngood	r_nch	r_nclip	i_flags	i_nimaflags	i_ngood	i_nch	i_nclip	z_flags	z_nimaflags	z_ngood	z_nch	z_nclip	class_star	flags_psf	radius_petro	u_psf	e_u_psf	u_rchi2var	u_petro	e_u_petro	v_psf	e_v_psf	v_rchi2var	v_petro	e_v_petro	g_psf	e_g_psf	g_rchi2var	g_petro	e_g_petro	r_psf	e_r_psf	r_rchi2var	r_petro	e_r_petro	i_psf	e_i_psf	i_rchi2var	i_petro	e_i_petro	z_psf	e_z_psf	z_rchi2var	z_petro	e_z_petro	ebmv_sfd	prox	prox_id	dr1_id	dr1_dist	twomass_key	twomass_dist	allwise_cntr	allwise_dist	ucac4_mpos	ucac4_dist	refcat2_id	refcat2_dist	ps1_dr1_id	ps1_dr1_dist	galex_guv_id	galex_guv_dist	gaia_dr2_id1	gaia_dr2_dist1	gaia_dr2_id2	gaia_dr2_dist2
☄	168.94	406586270	218.589773	-78.143136	16	40	143421.54-780835.2	57199.4291	0.0014	308.26596	-16.351103	0	0	4	2	1	3.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.953	0	6.27																					18.1398	0.0173	3.303	18.2097	0.0493	18.0332	0.0475	15.339	18.005	0.1148	0.1232	10.4	406586271	246421405	0.36	888892630	10.12	2160078801351053870	10.23	2832960	9.91	534215302	0.02					5785770716688122880	0.02	5785782472020400512	10.48
☄	169.01	406586049	218.356865	-78.063528	97	82	143325.64-780348.7	57111.1722	152.8651	308.25336	-16.258924	0	0	4	2	1	2.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	1	0.906	0	6.27																					17.9947	0.0209	0.551	17.9367	0.0425	17.4	0.0138	4.617	17.41	0.0748	0.1181	14.6	406586046	246421251	0.17	1203886256	0.75	2160078801351054223	0.53			534214830	0.56					5785783842108281344	0.56	5785783846404920960	2.09
☄	169.31	406586309	218.273455	-78.094641	31	94	143305.62-780540.7	57199.4291	0.0014	308.224	-16.280596	0	0	4	2	1	1.0			0		0			0		0			0		0			0		0	0	0	2	1	0	0	0	2	1	0	0.819	0	6.6																					18.4742	0.0337	9.384	18.6447	0.0627	18.3427	0.0336	6.399	18.6606	0.164	0.1232	15.0						2160078801351058335	0.26			534214679	0.25					5785783429791390592	0.25		
☄	171.57	406586008	218.582254	-78.055473	67	35	143419.74-780319.7	57407.5267	303.3501	308.30124	-16.270231	0	0	3	1	1	1.0			0		0			0		0			0		0			0		0	0	0	1	1	0	0	0	2	1	0	0.898	0	6.77																					18.0854	0.0105	0.0	18.1076	0.065	17.9441	0.1232	128.34	17.9821	0.1068	0.1181	15.0		246421221	0.28			2160078801351054863	0.26			534215282	0.23					5785783739029060480	0.23	5785783739028640256	6.54
☄	171.87	406586032	218.418703	-78.055309	25	83	143340.48-780319.1	57199.4305	0.001	308.269	-16.256502	0	0	2	1	1	2.0			0		0			0		0			0		0			0		0	0	0	1	1	0	0	0	1	1	0	0.714	0	7.26																					18.3873	0.0224	0.0	18.6437	0.0899	18.3448	0.024	0.0	18.5621	0.1447	0.1181	13.3	406586033	246421238	0.18							534214957	0.2					5785783876468026880	0.2	5785783876468023680	13.52
☄	173.75	406586338	218.286993	-78.120085	22	85	143308.87-780712.3	57187.7481	219.1123	308.2161	-16.305048	0	0	7	3	1	3.0			0		0			0		0			0		0			0		0	0	0	4	1	0	0	0	3	1	0	0.959	0	7.54																					17.9161	0.0345	14.308	17.8932	0.0377	17.8592	0.0223	2.341	17.7993	0.0664	0.1232	12.7	406586339	246421457	0.11	1203886445	0.36	2160078801351057597	0.82			282450632	0.26					5785783056135965696	0.26	5785783056132971008	3.89
☄	173.76	406586458	218.443144	-78.146828	77	67	143346.35-780848.5	57296.5485	260.3195	308.23566	-16.342388	1	0	10	5	1	3.0			0		0			0		0			0		0			0		0	1	0	5	1	0	0	0	5	1	0	0.968	2	6.55																					17.4701	0.0153	4.412	17.4666	0.0455	17.2662	0.0171	3.995	17.3638	0.053	0.1232	12.5	406586457	246421544	0.1	1203886533	0.11	2160078801351053561	12.5	2831837	12.39	282450818	0.12					5785782124121268992	0.12	5785782128417964928	10.87
☄	173.92	406586029	218.466799	-78.052178	36	36	143352.03-780307.8	57199.4298	0.0	308.27982	-16.257618	1	0	1	1	1	2.0			0		0			0		0			0		0			0		0	1	0	1	1	0			0		0	0.653	2	10.56																					18.6611	0.0156	0.0	18.1569	0.112						0.1181	10.8	406586028	246421236	10.87	1203886203	11.2	2160078801351055868	1.52	2865300	11.23	534215052	0.35					5785783777690482816	0.35	5785783983848913408	6.36
☄	174.74	406586167	218.731827	-78.091674	44	48	143455.63-780530.0	57157.7818	485.254	308.3155	-16.315826	0	0	8	1	1	3.0			0		0			0		0			0		0	0	0	1	1	0	0	0	4	1	0	0	0	3	1	1	0.978	0	6.34																17.6223	0.0254	0.0	17.7631	0.1342	17.3467	0.0136	3.031	17.3247	0.03	17.1397	0.0201	61.478	17.0506	0.0469	0.1181	11.9	406586168	246421336	0.02	888892439	0.32	2160078801351054148	0.57			282451165	0.15					5785782643819106816	0.15	5785782643816832384	3.93
☄	175.37	406586015	218.663686	-78.064921	12	20	143439.28-780353.7	57136.5902	176.1131	308.31332	-16.285667	3	1	14	2	1	4.0			0		0			0		0	1	0	2	1	0	3	0	4	1	0	3	0	3	1	0	3	1	5	1	1	0.984	0	4.39											15.8465	0.0316	17.28	15.8044	0.0289	15.112	0.0075	1.803	15.0742	0.0257	14.5988	0.0061	0.053	14.582	0.0149	14.4062	0.0048	6.349	14.4015	0.0124	0.1181	10.4	406586118	246421228	0.05	888892345	0.02	2160078801351053550	10.05	2859918	0.08	44059812	0.13					5785876755141470080	0.13	5785876823859269888	6.22
