,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,9.34,472509538,101.034328,-51.284271,18,24,064408.23-511703.3,57696.2892,0,1,14,2,1,0.97,,,,,,,,,18.8256,0.0067,18.8052,0.0238,18.5004,0.0119,18.5107,0.0555,18.3289,0.0156,18.2634,0.0357,18.288,0.033,18.1357,0.0698,12.1,472509537
☄,19.39,472509537,101.036402,-51.287358,48,41,064408.73-511714.4,57567.0357,0,0,6,3,1,0.716,,,,,,,,,,,,,,,,,18.956,0.0127,18.9411,0.064,18.1037,0.0171,18.1512,0.0748,12.1,472509538
☄,24.49,472509539,101.025961,-51.279769,15,16,064406.23-511647.1,57608.6653,0,9,43,4,1,0.997,15.926,0.0079,15.9424,0.0134,15.1547,0.0045,15.16,0.0079,14.5098,0.004,14.5144,0.0044,14.5562,0.0046,14.5729,0.0066,14.6933,0.0042,14.7153,0.0049,14.7703,0.0086,14.8059,0.0111,15,
☄,26.8,472509570,101.025581,-51.285271,29,29,064406.13-511706.9,57630.9759,0,0,11,1,1,0.798,,,,,,,,,20.6575,0.0225,20.9369,0.2296,19.85,0.0192,19.9861,0.1028,18.7665,0.0216,18.836,0.0497,18.2454,0.0178,18.4056,0.1079,15,
☄,37.18,472509540,101.024787,-51.27454,29,35,064405.94-511628.3,57691.5443,0,0,11,2,1,0.768,,,,,,,,,20.6538,0.0385,20.9453,0.1629,20.04,0.0127,20.0164,0.0921,18.8963,0.0285,18.9436,0.0572,18.3833,0.0272,18.3611,0.1072,10.9,472509597
☄,42.66,472509572,101.018957,-51.277135,89,96,064404.54-511637.6,57699.2224,0,0,2,2,1,0.487,,,,,,,,,20.6731,0.0156,21.2036,0.2005,,,,,,,,,,,,,12.5,472509629
☄,43.64,472509573,101.016876,-51.282273,17,19,064404.05-511656.1,57581.7117,0,1,34,4,1,0.985,18.5651,0.0385,18.6459,0.066,18.1628,0.0163,18.1698,0.0544,16.8069,0.0044,16.829,0.006,16.436,0.0043,16.4627,0.0078,16.2176,0.0049,16.2487,0.0072,16.1598,0.0074,16.2057,0.0142,15,
☄,45.35,472509597,101.025027,-51.271513,14,16,064406.00-511617.4,57566.2784,0,7,45,4,1,0.995,16.6392,0.0123,16.635,0.0255,16.2825,0.0086,16.2943,0.0225,15.1545,0.0047,15.1668,0.0047,14.8644,0.0045,14.8805,0.007,14.6787,0.0043,14.7039,0.0083,14.6389,0.0053,14.6657,0.0136,10.9,472509540
☄,48.12,472509535,101.054072,-51.274597,25,68,064412.97-511628.5,57698.5186,0,0,5,1,1,0.576,,,,,,,,,20.9251,0.0579,20.5265,0.1257,20.155,0.0774,19.3986,0.1338,19.4903,0.0531,19.1503,0.1488,,,,,13.1,472509536
☄,48.17,472509595,101.029962,-51.269182,58,55,064407.19-511609.0,57699.4148,0,2,10,3,1,0.737,,,,,,,,,20.0129,0.0311,19.8721,0.1405,19.7547,0.0128,19.5716,0.1203,19.4403,0.029,19.1652,0.0842,,,,,7.6,472509596
☄,48.26,472509628,101.020041,-51.273204,47,49,064404.80-511623.5,57646.2371,0,0,13,3,1,0.911,,,,,,,,,20.5472,0.0162,20.6354,0.0891,19.6157,0.0107,19.7272,0.0654,18.541,0.009,18.5841,0.0531,18.1989,0.0441,18.3314,0.075,9.6,472509629
☄,52.91,472509531,101.05738,-51.288406,42,29,064413.77-511718.2,57681.1713,0,1,7,2,1,0.949,,,,,,,,,20.1108,0.0142,20.0943,0.2489,19.4996,0.0172,19.5416,0.0677,18.998,0.032,19.0355,0.0708,,,,,15,
☄,53.46,472509629,101.016051,-51.274171,30,71,064403.85-511627.0,57694.0555,0,0,12,2,1,0.686,,,,,,,,,20.815,0.0474,20.8683,0.234,19.8922,0.0324,20.1289,0.067,19.0738,0.0564,19.1125,0.0821,18.7404,0.0239,18.7304,0.1004,9.6,472509628
☄,53.69,472509596,101.031608,-51.267344,34,32,064407.58-511602.4,57689.9498,0,2,9,1,1,0.543,,,,,,,,,20.9536,0.0514,20.9491,0.2591,19.8965,0.0424,19.4847,0.0602,19.1964,0.0292,18.7112,0.0951,,,,,7.6,472509595
☄,56.83,472509571,101.016375,-51.291703,21,31,064403.93-511730.1,57704.4583,0,0,8,1,1,0.656,,,,,,,,,20.0309,0.0218,20.051,0.0497,19.7768,0.0264,19.7108,0.0606,19.6597,0.041,19.5662,0.1721,,,,,15,
☄,57.28,472509536,101.054644,-51.270984,36,36,064413.11-511615.5,57699.721,0,0,1,1,1,0.485,,,,,,,,,,,,,20.4496,0.0228,20.5748,0.2348,,,,,,,,,13.1,472509535
☄,58.04,472509534,101.047383,-51.296514,133,51,064411.37-511747.4,57698.5741,0,0,7,1,1,0.698,,,,,,,,,20.2549,0.0101,20.3054,0.0754,19.9416,0.0565,20.1825,0.2409,19.4548,0.0473,19.7723,0.1416,,,,,15,
