,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,426.75,94758696,192.408516,-41.429978,65,54,124938.04-412547.9,57724.6508,0,0,5,1,1,0.971,,,,,,,,,,,,,18.169,0.0384,17.9828,0.1986,18.1041,0.0128,18.0676,0.0501,18.0075,0.0223,17.9029,0.169,11.7,94758697
☄,427.02,94759748,192.635488,-41.272421,36,36,125032.51-411620.7,57894.3498,0,0,1,1,1,0.503,,,,,,,,,,,,,,,,,19.7032,0.0414,19.7783,0.1711,,,,,9.2,94759747
☄,427.75,94759592,192.657932,-41.326018,34,35,125037.90-411933.6,57724.8493,0,0,5,2,1,0.98,,,,,,,,,,,,,,,,,17.7414,0.0104,17.809,0.0286,17.5986,0.0095,17.6463,0.0558,10.9,94759591
☄,427.97,94761481,192.528582,-41.21641,36,36,125006.85-411259.0,57894.3498,0,0,1,1,1,0.749,,,,,,,,,,,,,,,,,19.3743,0.0264,19.3327,0.1426,,,,,15,
☄,428.14,94759044,192.634768,-41.39589,36,36,125032.34-412345.2,57894.3498,1,0,1,1,1,0.768,,,,,,,,,,,,,,,,,19.3784,0.0337,19.2278,0.1346,,,,,5.2,94759045
☄,428.15,94761665,192.56568,-41.225128,31,71,125015.76-411330.4,57484.588,0,4,11,1,1,0.986,,,,,,,,,17.7656,0.0359,17.6529,0.1301,17.0459,0.0123,17.2113,0.1542,16.5932,0.0115,16.6369,0.0135,16.371,0.0093,16.4834,0.0411,15,
☄,428.37,94759385,192.358273,-41.280187,35,34,124925.98-411648.6,57753.0996,0,3,6,3,1,0.971,,,,,,,,,,,,,,,,,18.1209,0.0549,18.1994,0.0755,17.983,0.0262,17.9802,0.1146,8.6,94759384
☄,428.8,94761479,192.516528,-41.214872,81,55,125003.96-411253.5,57894.8464,0,0,4,2,1,0.972,,,,,,,,,,,,,,,,,18.5414,0.0111,18.6468,0.0561,18.4181,0.0544,18.506,0.2024,15,
☄,428.96,94759779,192.616171,-41.25222,58,62,125027.88-411507.9,57894.8464,0,0,4,2,1,0.964,,,,,,,,,,,,,,,,,18.4599,0.0335,18.5183,0.0559,18.336,0.1011,18.4819,0.2693,11.1,94759780
☄,428.97,94759089,192.651782,-41.368213,33,25,125036.42-412205.5,57894.6809,0,0,3,1,1,0.905,,,,,,,,,,,,,,,,,19.0805,0.018,19.3346,0.0949,18.8929,0.0237,19.0774,0.2232,15,
☄,429,94758693,192.429523,-41.440125,29,53,124943.08-412624.4,57426.2295,0,0,14,2,1,0.985,,,,,,,,,16.7947,0.0646,16.9103,0.0968,16.2918,0.0086,16.2515,0.0421,16.0793,0.018,16.1225,0.0094,15.971,0.0114,16.0485,0.0185,7.6,94758692
☄,429.23,94758882,192.562504,-41.442956,213,36,125015.00-412634.6,57894.8457,0,0,2,2,1,0.7,,,,,,,,,,,,,,,,,19.2983,0.011,19.3872,0.1578,,,,,15,
☄,429.36,94759043,192.632715,-41.398938,29,31,125031.85-412356.1,57689.4258,0,0,6,2,1,0.982,,,,,,,,,,,,,,,,,17.9504,0.0156,18.0651,0.0759,17.5108,0.0259,17.6481,0.0475,12.3,94759044
☄,429.54,94759023,192.619146,-41.412343,41,48,125028.59-412444.4,57894.8464,0,0,4,2,1,0.782,,,,,,,,,,,,,,,,,18.7747,0.0324,18.8511,0.1384,18.6169,0.0527,18.7279,0.1136,11.3,94759024
☄,429.96,94761666,192.578489,-41.22948,44,41,125018.83-411346.1,57403.8554,0,2,15,3,1,0.983,,,,,,,,,16.3129,0.0182,16.4227,0.0511,15.9327,0.0293,15.9284,0.0439,15.6808,0.0099,15.7057,0.0111,15.5918,0.0054,15.6492,0.0101,15,
☄,430.21,94759341,192.341803,-41.32038,36,36,124922.03-411913.3,57894.3498,0,0,1,1,1,0.486,,,,,,,,,,,,,,,,,19.8883,0.0592,20.5121,0.5533,,,,,12.8,94747128
☄,430.26,94759780,192.61371,-41.249758,50,72,125027.29-411459.1,57724.8493,0,0,5,2,1,0.97,,,,,,,,,,,,,,,,,18.4577,0.0153,18.5549,0.0509,18.2394,0.0146,18.2219,0.1202,11.1,94759779
☄,431.05,94758692,192.431644,-41.441532,36,36,124943.59-412629.5,57894.3498,0,0,1,1,1,0.574,,,,,,,,,,,,,,,,,19.5816,0.0181,19.5687,0.1624,,,,,7.6,94758693
☄,431.42,94759746,192.640524,-41.276604,17,17,125033.72-411635.7,57429.3249,0,0,15,1,1,0.996,,,,,17.1725,0.0155,17.1198,0.1543,15.5261,0.0084,15.5222,0.0302,15.0037,0.0079,15.0087,0.0157,14.6056,0.0048,14.6223,0.0193,14.4517,0.0053,14.4824,0.0111,15,
☄,431.58,94759008,192.5977,-41.428192,104,51,125023.44-412541.4,57894.8464,0,0,4,2,1,0.835,,,,,,,,,,,,,,,,,19.0666,0.0361,19.1483,0.0912,18.6097,0.0163,18.7289,0.1137,11,94758891
☄,431.86,94759229,192.342448,-41.353317,31,70,124922.18-412111.9,57979.1383,0,0,6,1,1,0.977,,,,,,,,,,,,,18.0281,0.0427,17.9238,0.136,17.9433,0.0087,17.9484,0.0684,17.7699,0.018,17.8102,0.0603,15,
☄,432.8,94759045,192.636692,-41.396014,51,24,125032.80-412345.6,57658.0228,0,0,7,1,1,0.981,,,,,,,,,,,,,17.8471,0.0249,18.0028,0.1872,17.306,0.0111,17.3288,0.0195,17.1242,0.0169,17.2212,0.0896,5.2,94759044
