,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,22.01,484976076,273.637641,-85.201562,205,212,181433.03-851205.6,57740.0586,0,0,2,2,1,0.493,,,,,,,,,,,,,20.0741,0.0682,20.0116,0.1432,,,,,,,,,8.7,484976075
☄,23.01,484976074,273.623693,-85.196418,12,31,181429.68-851147.1,57372.9226,0,0,18,3,1,0.983,,,,,,,,,17.8334,0.0087,17.8208,0.0358,17.3471,0.0091,17.3621,0.0122,16.958,0.0105,16.9849,0.0168,16.7846,0.0278,16.8077,0.0607,15,
☄,28.92,484976075,273.609155,-85.201198,35,69,181426.19-851204.3,57501.4161,0,0,3,1,1,0.583,,,,,,,,,,,,,,,,,18.9741,0.0139,18.9189,0.1198,18.3359,0.033,18.5748,0.1007,8.7,484976076
☄,33.07,484976092,273.790683,-85.193212,45,30,181509.76-851135.5,57357.8992,0,0,17,2,1,0.982,,,,,,,,,17.615,0.0084,17.6087,0.0178,17.279,0.0234,17.295,0.0188,17.0113,0.0113,17.0195,0.0363,16.9371,0.0063,16.9581,0.0387,15,
☄,36.82,484976093,273.815924,-85.200577,31,34,181515.82-851202.0,57719.3267,0,0,5,1,1,0.564,,,,,,,,,20.1372,0.0215,20.0199,0.0986,19.6759,0.0148,19.8522,0.2493,19.1824,0.0118,19.1744,0.1162,,,,,15,
☄,43.72,484976078,273.585474,-85.205781,22,48,181420.51-851220.8,57329.2305,0,0,13,2,1,0.982,,,,,,,,,17.9791,0.0076,17.9912,0.0239,17.5775,0.0127,17.5899,0.0201,17.2598,0.0184,17.2935,0.0332,17.0885,0.012,17.1552,0.0417,15,
☄,50.57,484976094,273.726901,-85.211885,29,31,181454.45-851242.7,57638.013,0,0,6,2,1,0.898,,,,,,,,,19.4872,0.0399,19.471,0.129,19.1355,0.0114,19.2063,0.0521,18.9092,0.0348,18.7878,0.0882,,,,,12,484976095
☄,52.99,484975984,273.789532,-85.185519,29,18,181509.48-851107.8,57567.5281,0,7,12,2,1,0.973,,,,,,,,,18.8087,0.0074,18.7981,0.047,18.4362,0.0064,18.4364,0.037,18.209,0.0124,18.2956,0.0593,18.0985,0.0147,18.2165,0.0813,15,
☄,59.09,484976095,273.761066,-85.213585,26,23,181502.65-851248.9,57614.8849,0,0,12,2,1,0.974,,,,,,,,,18.8086,0.0122,18.8178,0.0297,18.351,0.0067,18.3709,0.039,18.0086,0.0147,18.1105,0.0639,17.9315,0.0159,17.9981,0.0745,12,484976094
☄,65.16,484976077,273.537113,-85.210215,25,24,181408.90-851236.7,57679.6524,0,0,4,1,1,0.884,,,,,,,,,20.1142,0.0195,20.3264,0.1222,19.337,0.0146,19.4213,0.1053,18.6465,0.0241,18.4775,0.1179,,,,,10.9,484976079
