,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,62.05,17237954,46.96054,-29.91429,36,36,030750.52-295451.4,57974.7261,0,0,1,1,1,0.518,,,,,,,,,,,,,,,,,19.0808,0.0555,19.3544,0.1426,,,,,15,
☄,81.9,17237969,46.948054,-29.903922,33,56,030747.53-295414.1,57154.2256,0,0,10,1,1,0.983,17.2123,0.0316,17.2098,0.0331,16.8237,0.0076,16.8268,0.0232,15.8517,0.0159,15.8087,0.0566,15.5701,0.0105,15.6453,0.0315,15.4081,0.0109,15.4216,0.0212,15.3864,0.0074,15.4135,0.0136,15,
☄,104.79,17237952,46.93033,-29.952074,25,42,030743.27-295707.4,56959.567,0,0,2,1,1,0.695,,,,,,,,,,,,,,,,,19.7158,0.0592,19.9398,0.1543,18.5051,0.0174,18.6144,0.1505,11.2,17237951
☄,108.82,17237970,46.955717,-29.897446,43,75,030749.37-295350.8,57202.8905,0,3,8,1,1,0.982,,,,,18.9328,0.042,18.949,0.1095,16.8549,0.0155,16.7526,0.1172,16.4845,0.0141,16.4636,0.0623,16.223,0.0161,16.2635,0.0171,16.1017,0.014,16.1226,0.0211,15,
☄,109.64,17237951,46.926768,-29.951743,50,44,030742.42-295706.2,57162.5966,0,0,5,1,1,0.517,,,,,,,,,20.1084,0.0564,19.8633,0.1328,19.5859,0.1005,19.1155,0.0708,19.115,0.0485,18.5291,0.1296,18.8252,0.0801,18.2999,0.1539,7.8,17237950
☄,115.63,17237950,46.927056,-29.953896,31,40,030742.49-295714.0,57297.9517,0,0,6,1,1,0.372,,,,,,,,,19.8098,0.0806,19.4194,0.064,18.9512,0.08,18.469,0.0423,18.328,0.0577,17.7756,0.046,18.0739,0.0588,17.5818,0.0739,7.8,17237951
☄,123.28,17238002,46.984519,-29.916821,25,72,030756.28-295500.5,57974.7268,0,0,2,1,1,0.724,,,,,,,,,,,,,,,,,18.3816,0.0628,18.2269,0.1037,18.2868,0.0213,18.7903,0.3216,15,
☄,136.14,17237981,46.987885,-29.939059,35,21,030757.09-295620.6,57162.5966,0,0,5,1,1,0.85,,,,,,,,,20.6239,0.0243,20.7755,0.1058,19.9404,0.0225,20.1253,0.1136,19.0724,0.0872,19.2496,0.2168,18.8731,0.0535,18.7034,0.1893,15,
☄,142.94,17237946,46.903318,-29.913798,16,15,030736.79-295449.6,56947.0067,0,0,10,1,1,0.996,14.1023,0.0078,14.1106,0.0097,13.6826,0.0093,13.6819,0.0114,12.6136,0.0105,12.6114,0.0107,12.3751,0.0105,12.3975,0.0105,12.2548,0.0105,12.2859,0.0105,12.2723,0.0105,12.2997,0.0105,15,
☄,143.02,17237982,46.992507,-29.926465,71,35,030758.20-295535.2,57353.071,0,0,5,1,1,0.968,,,,,,,,,,,,,17.8558,0.0199,17.8314,0.1739,17.6356,0.0319,17.5624,0.0998,17.5347,0.016,17.7299,0.0738,15,
☄,144.61,17237947,46.906512,-29.906583,31,25,030737.56-295423.6,57456.6804,0,0,4,2,1,0.971,,,,,,,,,,,,,,,,,17.3637,0.0453,17.4031,0.0336,16.8942,0.0099,16.9341,0.0446,15,
☄,150.6,17237967,46.925758,-29.888936,36,36,030742.18-295320.1,57974.7261,0,0,1,1,1,0.592,,,,,,,,,,,,,,,,,18.898,0.0218,18.8168,0.1231,,,,,15,
☄,155.23,17237678,46.950792,-29.969609,25,23,030748.19-295810.5,57208.1223,0,0,8,1,1,0.975,,,,,,,,,20.0775,0.0111,20.0345,0.0949,19.1712,0.0184,19.264,0.0568,17.9681,0.02,18.0003,0.0384,17.6024,0.0396,17.6259,0.0496,15,
☄,161.09,17237971,46.961464,-29.883771,25,53,030750.75-295301.5,57974.7268,0,0,2,1,1,0.492,,,,,,,,,,,,,,,,,19.1376,0.0394,19.0447,0.1586,18.4373,0.0302,18.5967,0.1422,15,
☄,161.26,17237945,46.897339,-29.913271,23,16,030735.36-295447.7,57134.6262,0,0,11,1,1,0.984,17.3093,0.008,17.2973,0.0841,16.9313,0.0089,16.9706,0.037,15.3391,0.011,15.3201,0.0367,14.9667,0.0105,15.0066,0.0237,14.7301,0.0074,14.761,0.0092,14.6655,0.0074,14.7051,0.0099,15,
☄,164.26,17237676,46.914891,-29.963024,20,35,030739.57-295746.8,57207.8741,0,0,8,1,1,0.982,,,,,,,,,19.1736,0.0107,19.1564,0.0478,18.2563,0.0111,18.2907,0.0261,16.6115,0.0183,16.6547,0.0132,15.9895,0.0166,16.0298,0.0328,7.8,17237675
☄,171.66,17237675,46.91282,-29.964236,43,22,030739.07-295751.2,57213.3556,0,0,4,1,1,0.873,,,,,,,,,,,,,20.2374,0.0216,20.3845,0.1572,19.1188,0.0122,19.1925,0.092,18.6372,0.0346,18.7825,0.1904,7.8,17237676
☄,173.61,17237953,46.964099,-29.972438,75,35,030751.38-295820.7,56959.563,0,0,3,1,1,0.629,,,,,,,,,20.9325,0.0882,20.5569,0.1946,20.4706,0.067,20.1941,0.1229,20.0129,0.0197,20.1018,0.2009,,,,,15,
☄,176.47,17238003,47.002377,-29.918187,36,36,030800.57-295505.4,57974.7261,0,0,1,1,1,0.47,,,,,,,,,,,,,,,,,18.9837,0.0135,18.9984,0.1362,,,,,15,
☄,177.58,17237977,46.973528,-29.970129,25,50,030753.64-295812.4,56959.5614,0,0,2,1,1,0.699,,,,,,,,,20.5486,0.0167,20.5753,0.1499,20.4534,0.0221,20.614,0.1484,,,,,,,,,15,
