	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	96.58	461853133	169.808944	-85.355226	18	30	111914.14-852118.8	57249.6805	0	3	19	4	1	0.983									16.3005	0.0163	16.4075	0.0496	15.8642	0.0181	15.8934	0.0365	15.6423	0.0088	15.6706	0.0091	15.5779	0.0057	15.5964	0.0247	15.0	
☄	98.32	461852855	170.233046	-85.313713	17	36	112055.93-851849.3	57164.4959	0	6	28	2	1	0.988	16.4427	0.0099	16.4562	0.1303	16.2552	0.0181	16.0547	0.1444	14.7015	0.0054	14.714	0.011	14.3502	0.0064	14.366	0.0085	14.1482	0.0045	14.1652	0.011	14.0852	0.0045	14.1173	0.0091	11.6	461852859
☄	99.77	461852865	169.917616	-85.306448	10	60	111940.22-851823.2	57497.5424	0	0	2	2	1	0.503																	19.1927	0.0505	19.268	0.129					13.0	461852868
☄	100.24	461853135	169.740339	-85.351519	36	36	111857.68-852105.4	57497.541	0	0	1	1	1	0.495																	19.0598	0.0293	19.0522	0.19					7.4	461853134
☄	102.5	461852873	170.336787	-85.341148	107	48	112120.82-852028.1	57497.5431	0	1	4	2	1	0.916																	18.1511	0.0117	18.1418	0.0597	17.5896	0.0801	17.5764	0.0849	12.2	461852753
☄	103.71	461853127	169.953378	-85.361893	50	25	111948.81-852142.8	57497.5417	0	1	2	1	1	0.562																	19.089	0.0247	19.0603	0.1681	18.4099	0.1142	18.7154	0.2122	14.5	461853126
☄	104.94	461852853	170.312171	-85.319096	8	35	112114.92-851908.7	57497.5431	0	0	4	2	1	0.958																	17.7704	0.0163	17.8144	0.0633	17.6554	0.0454	17.8323	0.0866	12.0	461852856
☄	105.7	461853123	170.181775	-85.358722	30	71	112043.62-852131.3	57298.4412	0	3	16	1	1	0.979									17.1729	0.0219	17.3043	0.1617	16.9063	0.0101	16.9551	0.1279	16.6293	0.0248	16.6752	0.0715	16.553	0.0158	16.6429	0.0308	15.0	
☄	108.1	461852854	170.284579	-85.31427	59	53	112108.29-851851.3	57420.164	0	1	11	5	1	0.98																	17.1587	0.009	17.2053	0.0447	16.9256	0.0215	17.046	0.0442	15.0	
☄	111.44	461853138	169.749086	-85.356647	25	46	111859.78-852123.9	57497.5417	0	0	2	1	1	0.892																	18.1699	0.0117	18.1213	0.091	17.8733	0.0182	18.0634	0.1412	7.8	461853139
☄	111.8	461852753	170.358705	-85.344042	17	35	112126.08-852038.5	57497.5431	0	4	4	2	1	0.909																	18.1671	0.0264	18.2014	0.0688	18.101	0.0823	18.1925	0.1449	12.2	461852873
☄	112.02	461852868	169.892966	-85.303468	24	43	111934.31-851812.4	57497.5431	2	0	4	2	1	0.745																	18.2864	0.037	17.9393	0.0837	17.8575	0.0442	17.692	0.0751	13.0	461852865
☄	116.1	461853136	169.667624	-85.350983	58	44	111840.22-852103.5	57676.5895	0	0	4	2	1	0.976																	17.2937	0.0132	17.1907	0.0631	17.0179	0.0136	17.1454	0.0485	11.6	461853137
☄	117.41	461853139	169.749035	-85.358808	30	33	111859.76-852131.7	57497.5417	0	0	2	1	1	0.64																	18.3565	0.0139	18.4444	0.0899	17.926	0.0274	18.0883	0.1027	7.8	461853138
☄	120.72	461852754	170.37253	-85.347783	24	57	112129.40-852052.0	57497.5431	0	0	4	2	1	0.95																	17.9432	0.0254	18.0012	0.1043	17.5575	0.0316	17.643	0.0741	14.1	461852753
☄	122.62	461853142	169.849359	-85.36513	35	34	111923.84-852154.4	57497.5424	0	0	3	1	1	0.645																	18.9501	0.076	19.0076	0.1124	18.4543	0.064	18.0875	0.1611	15.0	
☄	125.03	461852863	170.05271	-85.29887	35	40	112012.65-851755.9	57497.5424	0	0	2	2	1	0.588																	19.0431	0.0219	18.9689	0.1021					7.4	461852862
