,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,1038.13,502213259,62.683282,-54.731613,36,36,041043.98-544353.8,56969.57,0,3,1,1,1,0.451,,,,,,,,,,,,,,,,,,,,,18.0789,0.0748,18.5353,0.2075,3.3,502213258
☄,1038.72,502103345,62.005199,-54.948982,106,34,040801.24-545656.3,57812.7995,0,0,8,1,1,0.728,,,,,,,,,,,,,20.3199,0.021,20.5006,0.0796,19.3122,0.0269,19.4106,0.1088,18.826,0.0305,18.7899,0.1339,15,
☄,1039.49,502099463,62.106624,-55.18082,23,24,040825.58-551050.9,57759.3039,0,0,13,2,1,0.974,,,,,,,,,19.7548,0.0654,19.8354,0.119,18.8649,0.0128,18.8686,0.1102,17.9748,0.0061,18.0069,0.0318,17.6426,0.0183,17.7591,0.0362,15,
☄,1039.63,502216880,62.327108,-54.728896,36,36,040918.50-544344.0,57687.6474,0,0,1,1,1,0.486,,,,,,,,,,,,,20.8299,0.0419,20.806,0.1692,,,,,,,,,15,
☄,1041.01,502213261,62.659228,-54.725735,47,35,041038.21-544332.6,57815.8432,0,0,11,3,1,0.901,,,,,,,,,,,,,20.1132,0.0393,20.1888,0.0747,18.6885,0.0208,18.7586,0.0723,18.1204,0.0382,18.2392,0.0599,15,
☄,1041.21,502098644,62.907662,-55.170911,41,30,041137.83-551015.2,57782.1769,0,0,14,2,1,0.96,,,,,,,,,20.259,0.0108,20.2516,0.0885,19.387,0.0267,19.3441,0.0637,18.3869,0.015,18.5119,0.0377,17.9712,0.0069,18.1152,0.0404,15,
☄,1041.3,502213257,62.686493,-54.731399,27,29,041044.75-544353.0,57769.6866,0,2,15,2,1,0.842,,,,,,,,,20.1627,0.0283,19.4784,0.0555,19.3738,0.0319,18.8259,0.1929,18.7563,0.0226,18.1866,0.0756,18.4946,0.0342,18.2872,0.0581,6.6,502213258
☄,1041.46,502213275,62.58071,-54.714459,20,30,041019.37-544252.0,57601.1887,0,0,19,3,1,0.983,,,,,,,,,17.4213,0.0068,17.4333,0.0157,16.6374,0.0061,16.6455,0.0074,16.0262,0.0046,16.0422,0.0081,15.7987,0.0043,15.8395,0.0079,11.7,502213274
☄,1041.51,502099451,62.138569,-55.202337,14,16,040833.25-551208.4,57648.8053,0,3,19,2,1,0.984,18.1819,0.0647,18.1881,0.1422,17.8568,0.0195,17.8328,0.1316,16.7992,0.009,16.7993,0.0148,16.5666,0.0061,16.5791,0.007,16.4134,0.0049,16.4385,0.009,16.3829,0.005,16.4369,0.0143,15,
☄,1041.66,502213318,62.526749,-54.71106,37,76,041006.41-544239.8,57790.3819,0,0,5,1,1,0.525,,,,,,,,,20.8532,0.0507,20.7167,0.171,20.22,0.055,19.9035,0.1523,19.7295,0.048,19.5237,0.1114,,,,,15,
