,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,5.04,491415499,19.522336,-75.204055,49,35,011805.36-751214.5,57737.8644,0,0,6,2,1,0.921,,,,,,,,,19.6902,0.0363,19.7979,0.0705,19.2129,0.0087,19.2819,0.0575,18.9943,0.0727,19.1929,0.1203,,,,,12.7,491415500
☄,17.58,491415500,19.519546,-75.200597,50,36,011804.69-751202.1,57694.4921,0,0,3,1,1,0.626,,,,,,,,,20.2458,0.0485,20.537,0.1959,20.0394,0.0132,20.1685,0.1063,,,,,,,,,12.7,491415499
☄,27.42,491415498,19.551475,-75.208787,71,36,011812.35-751231.6,57786.2149,3,0,4,1,2,0.886,,,,,,,,,,,,,19.4444,0.0155,19.5745,0.1059,,,,,18.4765,0.0436,18.3805,0.3299,4.3,491415497
☄,28.11,491415554,19.537086,-75.198105,56,83,011808.90-751153.1,57737.8644,0,0,6,2,1,0.942,,,,,,,,,19.5208,0.0292,19.503,0.16,19.1061,0.0433,18.9655,0.1053,18.867,0.0122,18.884,0.077,,,,,15,
☄,28.27,491415507,19.554813,-75.203352,55,31,011813.15-751212.0,57494.0173,0,0,12,3,1,0.983,,,,,,,,,17.2661,0.0071,17.2805,0.0204,16.5762,0.0065,16.5711,0.0113,16.0485,0.0176,16.0624,0.0102,15.8301,0.0067,15.8504,0.0131,14.2,491415508
☄,30.46,491415497,19.552666,-75.209935,74,178,011812.63-751235.7,57786.2117,3,0,4,1,2,0.658,,,,,,,,,19.4054,0.0828,18.9191,0.0702,,,,,18.67,0.0195,18.2958,0.121,,,,,4.3,491415498
☄,30.57,491415496,19.515055,-75.213382,35,40,011803.61-751248.1,57737.8644,0,0,6,2,1,0.97,,,,,,,,,19.0494,0.0471,18.7647,0.2383,18.7538,0.0317,18.491,0.0804,18.5211,0.0207,18.5303,0.0583,,,,,15,
☄,34.35,491415505,19.560878,-75.207951,72,152,011814.61-751228.6,57671.8693,3,0,9,2,1,0.786,,,,,,,,,19.1015,0.0535,18.5781,0.0304,18.7669,0.0628,18.1925,0.0294,18.4408,0.0352,18.0794,0.0592,18.2882,0.0681,18.2454,0.1017,9.2,491415498
☄,37.28,491415494,19.495008,-75.212249,121,35,011758.80-751244.0,57694.4916,0,0,3,1,1,0.605,,,,,,,,,20.1551,0.088,20.3785,0.1237,20.3179,0.0301,20.0701,0.1597,,,,,,,,,15,
☄,40.67,491415508,19.564762,-75.200331,57,75,011815.54-751201.1,57692.0034,0,0,4,2,1,0.918,,,,,,,,,19.9137,0.0179,20.1042,0.0826,19.5261,0.0145,19.5483,0.0885,,,,,,,,,14.2,491415507
☄,40.84,491415495,19.480635,-75.204706,76,54,011755.35-751216.9,57737.8644,0,0,6,2,1,0.935,,,,,,,,,19.5275,0.011,19.554,0.0799,19.0328,0.0089,19.14,0.0478,18.7207,0.0118,18.8895,0.0981,,,,,15,
☄,43.67,491415506,19.571007,-75.208302,36,36,011817.04-751229.8,57699.4694,0,0,1,1,1,0.598,,,,,,,,,,,,,20.2787,0.0551,20.2037,0.1649,,,,,,,,,9.4,491415505
☄,47,491415556,19.525498,-75.192224,36,36,011806.11-751132.0,57699.4694,1,0,1,1,1,0.542,,,,,,,,,,,,,20.2434,0.0332,19.9807,0.1428,,,,,,,,,7.7,491415557
