,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,558.21,461798404,177.948661,-84.623261,73,40,115147.67-843723.7,57599.754,0,0,6,3,1,0.889,,,,,,,,,,,,,,,,,18.4609,0.0087,18.402,0.052,17.9818,0.0352,18.0525,0.0637,7.1,461798403
☄,558.93,461842473,175.86678,-84.693468,24,32,114328.02-844136.4,57607.8991,0,0,6,3,1,0.967,,,,,,,,,,,,,,,,,17.9401,0.0166,17.9792,0.0356,17.814,0.0405,17.9246,0.0569,15,
☄,559.03,461800873,174.896338,-84.521771,30,28,113935.12-843118.3,57169.5874,0,3,19,4,1,0.983,,,,,,,,,16.0088,0.0183,15.955,0.0651,15.7204,0.0066,15.6608,0.0411,15.6121,0.0188,15.6504,0.0116,15.5803,0.0167,15.6009,0.0264,15,
☄,559.13,461842472,175.934131,-84.695984,23,70,114344.19-844145.5,57607.8991,0,0,6,3,1,0.937,,,,,,,,,,,,,,,,,18.2667,0.0312,18.2849,0.0715,18.0383,0.043,18.038,0.0996,15,
☄,559.19,461797411,177.150271,-84.407825,26,42,114836.06-842428.1,57384.2083,0,0,12,3,1,0.982,,,,,,,,,,,,,17.1585,0.0141,17.1662,0.0196,16.9452,0.0052,16.9402,0.0194,16.8707,0.0163,16.9781,0.0477,14.9,461797410
☄,559.31,461800648,175.043825,-84.480941,25,90,114010.51-842851.3,57497.5417,0,0,2,1,1,0.822,,,,,,,,,,,,,,,,,18.4968,0.0123,18.5423,0.1146,18.2973,0.0282,18.2114,0.1943,15,
☄,559.66,461800962,174.995106,-84.613052,16,69,113958.82-843646.9,57497.5431,0,0,4,2,1,0.667,,,,,,,,,,,,,,,,,18.6705,0.02,18.4702,0.1998,18.592,0.0262,18.6518,0.1413,8.9,461800963
☄,559.85,461800966,174.953594,-84.60314,71,80,113948.86-843611.3,57497.5438,0,0,2,2,1,0.486,,,,,,,,,,,,,,,,,,,,,18.6234,0.0114,18.7064,0.1501,10.4,461800956
☄,560.08,461797439,176.93972,-84.400293,70,87,114745.53-842401.0,57607.8984,0,0,3,3,1,0.574,,,,,,,,,,,,,,,,,19.1667,0.0927,18.7691,0.3182,,,,,15,
☄,560.09,461800899,174.867526,-84.565313,9,25,113928.20-843355.1,57497.5431,0,0,4,2,1,0.862,,,,,,,,,,,,,,,,,18.0788,0.0126,17.9813,0.0573,18.0028,0.0134,17.8908,0.1087,6,461800900
☄,560.19,461800647,175.076926,-84.474535,36,36,114018.46-842828.3,0,0,5,0,0,1,0.495,,,,,,,,,,,,,,,,,,,,,,,,,15,
☄,560.36,461842210,177.519789,-84.672712,77,89,115004.74-844021.7,57638.6398,0,0,2,1,1,0.5,,,,,,,,,,,,,19.8185,0.0178,20.2271,0.2279,19.3932,0.0433,19.6074,0.1987,,,,,15,
☄,560.55,461800586,175.204404,-84.455959,16,35,114049.05-842721.4,57272.8917,0,2,7,2,1,0.983,,,,,,,,,,,,,16.5318,0.1024,16.6503,0.2115,16.1298,0.009,16.1683,0.02,15.9409,0.0145,15.9745,0.0199,9.2,461800585
☄,560.87,461798007,178.114486,-84.524472,25,30,115227.47-843128.0,57247.9228,3,0,13,2,1,0.983,,,,,,,,,,,,,17.0397,0.0121,16.9641,0.0173,16.6671,0.0078,16.6459,0.0295,16.5456,0.0074,16.5151,0.0511,6.3,461798005
☄,561,461800583,175.254654,-84.449809,31,50,114101.11-842659.3,57369.5415,0,4,13,3,1,0.983,,,,,,,,,15.4214,0.0137,15.4388,0.0551,15.072,0.0064,15.071,0.0371,14.8546,0.0063,14.8844,0.0099,14.7849,0.0062,14.8312,0.0129,11.9,461800584
☄,561.11,461798655,175.564907,-84.422632,59,87,114215.57-842521.4,57497.5424,0,0,2,2,1,0.569,,,,,,,,,,,,,,,,,19.1325,0.0261,19.3125,0.1254,,,,,10.2,461798658
☄,561.13,461798424,177.449052,-84.423578,31,36,114947.77-842524.8,57340.8731,3,3,11,2,1,0.983,,,,,,,,,,,,,16.9941,0.0109,16.9681,0.042,16.7313,0.0055,16.7238,0.0233,16.6412,0.0284,16.6566,0.0434,10.6,461798423
☄,561.49,461842332,176.755749,-84.70412,78,60,114701.37-844214.8,57354.4538,0,0,18,4,1,0.981,,,,,,,,,,,,,17.4404,0.0229,17.4351,0.0304,17.157,0.0112,17.1707,0.0278,17.0343,0.019,17.0292,0.0515,12.8,461842333
☄,562.18,461798005,178.114932,-84.522713,18,50,115227.58-843121.7,57151.8729,3,0,16,3,1,0.984,,,,,,,,,,,,,16.2049,0.0123,16.1598,0.0199,15.6305,0.005,15.6109,0.0135,15.3737,0.009,15.395,0.0166,6.3,461798007
☄,562.18,461798286,178.144099,-84.555277,36,29,115234.58-843318.9,57568.0921,0,0,8,1,1,0.95,,,,,,,,,,,,,18.674,0.0136,18.875,0.0703,18.3834,0.016,18.4288,0.0455,18.2536,0.0417,18.0878,0.123,13.9,461798301
☄,562.89,461797913,177.772266,-84.452093,25,26,115105.34-842707.5,57104.1862,0,2,16,1,1,0.986,,,,,18.2773,0.0245,18.1807,0.1297,15.7228,0.0193,15.7183,0.0566,15.0032,0.011,14.9945,0.0092,14.4687,0.0047,14.4852,0.0062,14.2495,0.0116,14.2854,0.0135,15,
☄,562.9,461798658,175.538567,-84.423833,63,74,114209.25-842525.7,57497.5431,0,0,4,2,1,0.622,,,,,,,,,,,,,,,,,19.0287,0.0119,19.1306,0.1117,18.689,0.0174,19.1268,0.2289,10.2,461798655
☄,563.34,461800872,174.905221,-84.512722,44,30,113937.25-843045.7,57169.5892,0,0,19,3,1,0.982,,,,,,,,,16.8063,0.0248,16.9132,0.0631,16.4609,0.0132,16.5091,0.0819,16.2388,0.0172,16.2098,0.04,16.1244,0.0154,16.126,0.0286,15,
☄,563.52,461800661,174.986353,-84.48992,65,109,113956.72-842923.7,57497.5417,0,0,2,1,1,0.844,,,,,,,,,,,,,,,,,18.4888,0.0137,18.4456,0.1071,18.2858,0.026,18.3201,0.1225,8.2,461800660
☄,563.81,461798659,175.502647,-84.426098,94,53,114200.63-842533.9,57331.165,0,2,7,3,1,0.981,,,,,,,,,,,,,,,,,17.1086,0.014,17.1738,0.0227,16.826,0.0165,16.8712,0.0309,13.9,461798660
☄,565.38,461797918,177.848254,-84.460562,86,29,115123.58-842738.0,57473.1064,0,0,4,1,1,0.637,,,,,,,,,,,,,19.3686,0.0134,19.4615,0.1072,18.9152,0.0212,18.9084,0.2058,18.7253,0.0473,19.0204,0.2321,12.7,461797915
☄,565.53,461842495,175.732288,-84.689633,36,28,114255.74-844122.6,57280.3795,0,2,24,5,1,0.984,,,,,,,,,16.1581,0.0247,16.1177,0.0682,15.747,0.0095,15.7752,0.0282,15.4731,0.005,15.4934,0.0096,15.3934,0.0048,15.4211,0.0137,15,
☄,565.73,461800584,175.223995,-84.451291,25,56,114053.75-842704.6,57616.9097,0,0,3,1,1,0.975,,,,,,,,,,,,,,,,,17.4041,0.0118,17.4934,0.0454,17.2443,0.0129,17.3792,0.0681,11.9,461800583
☄,565.86,461797451,176.689234,-84.393877,35,36,114645.41-842337.9,57580.3094,0,0,4,1,1,0.528,,,,,,,,,,,,,,,,,19.247,0.0757,19.1792,0.1651,18.8149,0.0311,18.9347,0.2769,11.6,461797452
☄,566.47,461800580,175.306197,-84.44206,46,23,114113.48-842631.4,57264.7204,0,6,10,2,1,0.979,,,,,,,,,,,,,16.9158,0.0807,16.8385,0.0731,16.6774,0.0104,16.6403,0.0176,16.5375,0.0084,16.5383,0.0248,15,
☄,566.96,461841629,177.729127,-84.656968,41,30,115054.99-843925.0,57221.8715,3,0,16,3,1,0.981,,,,,,,,,,,,,17.3583,0.0166,17.3571,0.0246,17.1267,0.0195,17.1598,0.0243,17.0281,0.0059,17.0843,0.0398,10.1,461841630
☄,567.03,461844475,175.079114,-84.632912,18,26,114018.98-843758.4,57263.4126,0,18,27,3,1,0.985,16.0554,0.0489,16.0954,0.0882,15.7174,0.0262,15.7721,0.1202,14.7319,0.0129,14.7779,0.03,14.4677,0.0075,14.5109,0.0111,14.2827,0.0043,14.3046,0.0084,14.2501,0.0055,14.2725,0.0088,14.1,461844474
☄,567.5,461800964,174.91788,-84.599776,49,40,113940.29-843559.1,57276.1876,0,2,16,4,1,0.981,,,,,,,,,,,,,16.9633,0.0133,17.1821,0.4782,16.561,0.0053,16.5922,0.0168,16.369,0.0108,16.4363,0.023,6,461800965
