	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	876.41	90037224	144.975477	-3.280694	36	36	093954.11-031650.4	58188.5339	0	0	1	1	1	0.514																	20.1311	0.0561	20.3613	0.1745					15.0	
☄	876.49	90036782	145.308529	-3.586596	25	27	094114.04-033511.7	57059.338	0	0	20	1	1	0.979	18.3145	0.0124	18.357	0.0914	17.9727	0.0138	17.845	0.058	16.9947	0.0378	17.0137	0.0798	16.7544	0.0132	16.774	0.0385	16.5607	0.0054	16.5786	0.0152	16.5311	0.013	16.5521	0.0449	15.0	
☄	876.75	90037106	145.415819	-3.486909	120	119	094139.79-032912.8	57021.7263	0	0	2	1	1	0.576																	18.597	0.0406	18.2492	0.0721	18.1717	0.0312	17.7646	0.0897	15.0	
☄	876.78	90038011	145.289763	-3.138985	17	17	094109.54-030820.3	57010.5589	0	3	29	3	1	0.984	16.1698	0.0153	16.1834	0.0252	15.7788	0.0109	15.7975	0.0306	14.9058	0.0054	14.9335	0.0143	14.7091	0.0062	14.7387	0.009	14.6149	0.0044	14.6264	0.0123	14.6135	0.0044	14.6408	0.0091	15.0	
☄	876.83	90036140	144.993378	-3.490527	21	44	093958.41-032925.8	57410.3311	0	0	6	1	1	0.921									20.5615	0.0254	20.7868	0.1439	19.7439	0.0179	19.8444	0.0855	18.6701	0.0096	18.6182	0.1191	18.3263	0.057	18.3049	0.0707	15.0	
☄	877.36	90036822	145.319423	-3.581347	36	27	094116.66-033452.8	57064.6701	0	0	22	2	1	0.982	17.9877	0.1043	18.0552	0.0669	17.5901	0.01	17.7505	0.1561	16.3966	0.007	16.399	0.0269	16.0565	0.007	16.1113	0.025	15.8597	0.005	15.8746	0.0087	15.7979	0.0103	15.8152	0.0187	15.0	
☄	877.66	90036194	145.100541	-3.587869	52	106	094024.12-033516.3	57605.1336	0	0	4	1	1	0.498									20.7867	0.0478	20.5811	0.1479	20.1517	0.0382	19.9848	0.1131	19.7025	0.05	19.2922	0.2494					15.0	
☄	877.77	90036486	144.959577	-3.355636	30	65	093950.29-032120.2	57307.4504	3	0	20	3	1	0.98									18.2948	0.036	18.2836	0.0399	17.8685	0.0099	17.8529	0.0169	17.548	0.0162	17.5817	0.0194	17.4548	0.0277	17.5313	0.0441	9.4	90036485
☄	878.09	90037499	145.111435	-3.140916	18	17	094026.74-030827.2	57143.3416	0	3	32	4	1	0.999	15.3265	0.0059	15.3283	0.0127	14.9837	0.0055	14.9836	0.0152	13.8532	0.0054	13.8494	0.0057	13.5465	0.0053	13.5586	0.0056	13.4064	0.0043	13.4305	0.0057	13.3852	0.0043	13.4108	0.0064	15.0	
☄	878.63	90036142	145.011472	-3.517824	21	23	094002.75-033104.1	57188.2711	0	0	9	1	1	0.976									19.3871	0.0123	19.5231	0.0533	18.631	0.0105	18.6372	0.0311	18.0414	0.0197	18.0524	0.0317	17.7394	0.0377	17.7828	0.0671	15.0	
☄	878.78	90037161	145.448085	-3.365003	81	25	094147.54-032154.0	56957.0716	0	0	12	2	1	0.982													17.6444	0.0788	17.5534	0.2882	16.169	0.0071	16.1853	0.0108	15.6359	0.0119	15.6279	0.0331	15.0	
☄	879.08	90037982	145.208027	-3.122674	36	36	094049.92-030721.6	57020.7277	0	0	1	1	1	0.502																	19.5243	0.0269	19.4029	0.1885					15.0	
☄	879.65	90036131	145.019122	-3.527475	99	84	094004.58-033138.9	57410.3309	1	0	3	1	1	0.544													20.5469	0.0236	20.1868	0.1498	19.6457	0.0218	19.6957	0.14					10.7	90036141
☄	879.81	90036783	145.314102	-3.584889	79	50	094115.38-033505.6	56920.7486	0	0	15	1	1	0.979									18.2622	0.021	18.3704	0.1789	17.5649	0.0125	17.4171	0.0827	16.9892	0.0203	17.063	0.0332	16.7775	0.0179	16.8386	0.0386	15.0	
☄	881.32	90037158	145.447258	-3.394257	33	32	094147.34-032339.3	56896.7358	0	0	12	2	1	0.971									17.8138	0.0843	17.5007	0.2628	17.2832	0.0312	17.2973	0.088	16.9087	0.0147	16.6603	0.0719	16.7656	0.0107	16.5317	0.1017	15.0	
☄	881.58	90036901	145.348754	-3.564219	29	26	094123.70-033351.1	57102.4362	0	1	22	2	1	0.984	16.7234	0.0281	16.7012	0.0612	16.5274	0.024	16.5269	0.0289	15.2306	0.008	15.2288	0.0166	14.8641	0.0074	14.8867	0.0119	14.6128	0.0053	14.6198	0.0128	14.542	0.0085	14.5621	0.0134	15.0	
☄	882.37	90036550	144.963969	-3.313295	138	85	093951.35-031847.8	58188.8689	0	0	3	1	1	0.365													20.9394	0.064	21.0958	0.1051	20.3407	0.0397	20.354	0.1904					15.0	
☄	882.51	90038014	145.323874	-3.153125	19	17	094117.72-030911.2	57019.4193	0	0	28	3	1	0.984	17.2357	0.014	17.2195	0.0331	16.8361	0.031	16.8564	0.0362	15.7438	0.0076	15.7608	0.0188	15.4722	0.0145	15.4797	0.0341	15.3391	0.0072	15.3578	0.0095	15.3128	0.0061	15.3417	0.0173	15.0	
☄	883.88	90036502	144.960215	-3.331259	20	21	093950.45-031952.5	57153.2864	0	0	33	4	1	0.988	15.9257	0.0168	15.9249	0.0199	15.5478	0.0088	15.5539	0.0117	14.6367	0.0054	14.6411	0.0074	14.3836	0.0053	14.391	0.0073	14.2463	0.0045	14.2712	0.0076	14.2221	0.0043	14.2585	0.0089	15.0	
