,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,774.76,500012890,88.681343,-61.562697,37,31,055443.52-613345.7,57644.0385,0,0,6,1,1,0.87,,,,,,,,,,,,,20.6105,0.0418,20.8853,0.1658,19.1992,0.0109,19.3527,0.1494,18.678,0.0124,18.7382,0.1149,12.8,500012891
☄,774.88,500014735,89.194937,-61.322056,36,36,055646.78-611919.4,57820.3936,3,0,1,1,1,0.439,,,,,,,,,,,,,,,,,19.0896,0.0196,19.2199,0.1314,,,,,5,500014734
☄,775.12,500017867,88.413749,-61.207698,36,36,055339.29-611227.7,57009.4892,1,0,1,1,1,0.014,,,,,,,,,,,,,,,,,,,,,17.9694,0.1496,17.025,0.1896,15,
☄,775.27,500022727,88.309344,-61.39242,36,154,055314.24-612332.7,56980.6751,0,0,2,1,1,0.566,,,,,,,,,,,,,19.9419,0.0242,19.6176,0.1431,19.5987,0.0197,19.5781,0.165,,,,,15,
☄,775.27,500017834,88.491184,-61.174238,37,28,055357.88-611027.2,57454.9411,0,2,20,2,1,0.978,,,,,,,,,18.8014,0.0139,18.8824,0.0431,18.4826,0.0139,18.4984,0.0217,18.3233,0.018,18.4059,0.0646,18.2999,0.0231,18.3528,0.0668,15,
☄,775.34,500012334,89.117975,-61.474025,27,35,055628.31-612826.4,57404.6684,0,0,16,2,1,0.974,,,,,,,,,19.8526,0.0887,19.9199,0.2409,18.9737,0.0167,19.0274,0.0704,18.0395,0.0082,18.13,0.0288,17.6711,0.0245,17.6061,0.0815,15,
☄,776.59,500022635,88.335499,-61.434532,33,47,055320.51-612604.3,57335.8077,0,1,19,2,1,0.981,,,,,,,,,19.0099,0.0107,19.1114,0.0487,18.1912,0.0123,18.2111,0.0406,17.5173,0.0063,17.5044,0.0163,17.2399,0.0064,17.1919,0.0392,15,
☄,776.98,500017903,88.746762,-61.134179,44,90,055459.22-610803.0,57455.3836,0,0,5,2,1,0.723,,,,,,,,,,,,,20.0961,0.0156,20.0333,0.0906,19.5163,0.0346,19.6194,0.1039,,,,,15,
☄,776.99,500022770,88.300241,-61.341639,44,66,055312.05-612029.9,57601.0786,0,0,6,3,1,0.936,,,,,,,,,,,,,,,,,18.4253,0.012,18.4042,0.1331,18.0051,0.011,18.0952,0.0635,6.6,500022771
☄,777,500014742,89.184472,-61.294201,12,19,055644.27-611739.1,57415.1519,0,4,33,4,1,0.99,15.486,0.0068,15.5008,0.0137,15.1398,0.0042,15.129,0.0071,14.2321,0.0102,14.2253,0.0059,14.0127,0.0048,14.0083,0.0098,13.8889,0.0048,13.9138,0.0051,13.8854,0.0047,13.9173,0.0107,13.2,500014741
☄,777.07,500016909,89.071434,-61.199244,14,22,055617.14-611157.2,57378.6045,2,12,45,6,1,0.993,17.095,0.0164,17.0983,0.0247,16.826,0.0117,16.812,0.0372,15.6635,0.0046,15.6567,0.0069,15.3617,0.0043,15.3614,0.0114,15.1704,0.0036,15.1936,0.0064,15.1233,0.0048,15.1565,0.0082,15,
☄,777.22,500022741,88.301221,-61.368408,44,84,055312.29-612206.2,57942.7548,0,0,3,1,1,0.516,,,,,,,,,,,,,18.7676,0.0289,18.7541,0.1842,18.9319,0.0265,19.0658,0.113,18.9522,0.0328,19.2774,0.2874,5.5,500022742
☄,777.26,500016860,89.112811,-61.222594,339,53,055627.07-611321.3,57536.8845,0,3,21,2,1,0.98,,,,,,,,,19.0468,0.0371,18.663,0.0439,18.2581,0.0602,17.8013,0.0165,16.8235,0.0113,16.6944,0.0148,16.3068,0.0065,16.1893,0.0248,15,
☄,777.3,500017098,88.932173,-61.15266,20,32,055543.72-610909.5,57393.5837,3,0,23,3,1,0.979,,,,,,,,,18.3014,0.0212,18.3777,0.0296,17.6885,0.0136,17.7449,0.0397,17.2359,0.0097,17.2777,0.0198,17.0926,0.0083,17.1678,0.0239,13.1,500017356
☄,777.58,500017914,88.720193,-61.134481,49,165,055452.84-610804.1,57364.129,0,0,2,2,1,0.721,,,,,,,,,,,,,20.1563,0.0116,20.4015,0.1618,,,,,,,,,15,
☄,777.94,500012112,88.98884,-61.533467,59,35,055557.32-613200.4,57592.2638,0,0,4,1,1,0.551,,,,,,,,,,,,,,,,,19.6821,0.0543,19.8422,0.1026,18.9049,0.0324,18.9483,0.1918,15,
☄,778.11,500012106,89.038895,-61.516232,66,34,055609.33-613058.4,57521.2245,0,0,14,2,1,0.971,,,,,,,,,,,,,20.0177,0.0154,20.0027,0.0757,18.3489,0.0115,18.3885,0.0363,17.7277,0.0184,17.7861,0.0575,15,
☄,778.29,500016924,89.058091,-61.19249,23,85,055613.94-611132.9,57364.1311,0,0,4,2,1,0.579,,,,,,,,,,,,,20.4139,0.041,20.219,0.2636,19.9149,0.1332,19.5662,0.1964,,,,,15,
☄,778.44,500012237,88.920519,-61.550288,23,26,055540.92-613301.0,57412.5502,0,0,19,2,1,0.977,,,,,,,,,18.3611,0.008,18.3178,0.0287,18.0328,0.016,18.0482,0.0351,17.8508,0.0105,17.914,0.0357,17.7315,0.036,17.8722,0.0464,15,
☄,778.45,500012348,89.16617,-61.433969,35,68,055639.88-612602.2,57491.9505,0,0,3,1,1,0.53,,,,,,,,,,,,,20.5265,0.0189,20.7973,0.0991,19.9596,0.076,20.3319,0.1787,,,,,10.3,500012347
☄,778.71,500017397,88.80846,-61.135528,43,207,055514.03-610807.9,57516.22,0,0,3,3,1,0.559,,,,,,,,,,,,,,,,,19.5373,0.0288,19.2933,0.1874,,,,,12,500017399
☄,778.77,500012874,88.75922,-61.566279,34,33,055502.21-613358.6,57593.3955,0,0,7,1,1,0.851,,,,,,,,,,,,,20.4945,0.0182,20.6651,0.1719,18.9993,0.0267,19.0159,0.0757,18.3508,0.0092,18.3254,0.0739,15,
☄,779.08,500016857,89.132694,-61.235789,28,62,055631.84-611408.8,57608.7674,0,0,5,1,1,0.812,,,,,,,,,,,,,20.5429,0.0418,20.79,0.1369,19.251,0.0117,19.3056,0.089,18.9497,0.0436,19.276,0.267,11.9,500016847
☄,779.3,500017824,88.552921,-61.155381,240,185,055412.70-610919.3,57364.1332,0,0,2,2,1,0.457,,,,,,,,,,,,,,,,,19.9425,0.049,20.1507,0.1265,,,,,15,
☄,779.53,500017863,88.376646,-61.228675,128,107,055330.39-611343.2,57512.7795,3,1,22,2,1,0.972,,,,,,,,,18.4456,0.0198,18.1988,0.0588,18.1879,0.016,17.7164,0.0403,17.7287,0.0139,17.5186,0.0792,17.5831,0.018,17.3597,0.0845,3.4,500017864
☄,779.77,500014734,89.197824,-61.322172,33,23,055647.47-611919.8,57465.7311,2,5,31,4,1,0.982,17.7885,0.0299,17.695,0.1089,17.4714,0.0216,17.6216,0.052,16.657,0.0206,16.6184,0.0348,16.4101,0.0099,16.3503,0.0149,16.267,0.0071,16.2699,0.0278,16.239,0.0084,16.2705,0.022,5,500014735
☄,779.92,500017918,88.695014,-61.134976,31,18,055446.80-610805.9,57319.3407,0,0,32,4,1,0.989,16.4959,0.0144,16.4597,0.034,16.1885,0.0051,16.2017,0.013,14.6416,0.0075,14.588,0.0069,14.2144,0.0077,14.1643,0.0059,13.9582,0.0094,13.9079,0.0046,13.8767,0.01,13.827,0.0065,15,
