	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	399.11	404590425	246.121331	-72.994518	20	21	162429.11-725940.2	56862.4148	0	0	7	1	1	0.965									17.3055	0.0126	17.3532	0.1159	16.9327	0.0185	17.0482	0.0722	16.8272	0.0132	16.8475	0.0456	16.6581	0.0656	16.9122	0.1101	12.6	404590424
☄	399.12	404592604	246.740239	-73.08592	69	36	162657.65-730509.3	57121.7198	0	0	2	2	1	0.584																	18.671	0.0145	18.3212	0.1033					15.0	
☄	399.26	404547386	246.862349	-72.967503	10	19	162726.96-725803.0	57384.1992	2	0	16	2	1	0.986	15.6836	0.0367	15.6513	0.0369	15.3337	0.0226	15.2515	0.0984	14.1224	0.0077	14.1012	0.0142	13.802	0.0075	13.8224	0.0322	13.5897	0.0063	13.5997	0.011	13.5352	0.0053	13.5491	0.0117	11.5	404547387
☄	399.43	404591251	246.41921	-73.108426	24	32	162540.61-730630.3	56915.0121	3	0	12	1	1	0.975									17.5683	0.0132	17.512	0.1512	17.2507	0.0159	17.2581	0.1002	17.0038	0.0175	17.0546	0.0244	16.9104	0.0069	16.905	0.0576	6.1	404591252
☄	399.53	404591254	246.430136	-73.109096	48	56	162543.23-730632.7	57073.5792	0	0	12	3	1	0.944									17.3894	0.0277	17.6728	0.1475	17.2502	0.0512	17.3248	0.176	17.0828	0.0104	17.0161	0.0484	17.0513	0.0164	17.1827	0.0523	11.4	404591252
☄	399.91	404545325	246.263083	-72.913292	19	30	162503.13-725447.8	56978.0975	0	0	15	3	1	0.976									16.9696	0.0116	17.1999	0.1132	16.5631	0.0097	16.5149	0.0636	16.273	0.0059	16.2901	0.0137	16.1704	0.0199	16.178	0.0324	15.0	
☄	400.05	404590435	246.120056	-73.003347	36	36	162428.81-730012.0	57121.7184	1	0	1	1	1	0.553																	18.6049	0.0166	18.4145	0.1178					7.2	404590436
☄	400.14	404545650	246.481678	-72.888979	52	64	162555.60-725320.3	56997.7096	0	0	6	3	1	0.851																	17.6559	0.01	17.6408	0.0459	17.401	0.0179	17.5131	0.0677	7.4	404545651
☄	400.25	404592673	246.529758	-73.110843	36	36	162607.14-730639.0	57121.7212	0	0	1	1	1	0.465																	18.8396	0.0184	18.8501	0.178					9.0	404592674
☄	400.42	404592593	246.843393	-73.048161	17	26	162722.41-730253.3	56962.8837	0	0	16	3	1	0.983									15.7126	0.0078	15.789	0.0425	15.199	0.0068	15.2328	0.0126	14.8233	0.0099	14.8326	0.0102	14.6622	0.005	14.6989	0.012	15.0	
☄	400.96	404592514	246.880899	-73.002183	35	25	162731.41-730007.8	57002.7119	0	0	3	1	1	0.931																	17.7502	0.0126	17.7273	0.0568	17.5439	0.0898	17.4905	0.0949	14.0	404592516
☄	400.98	404545695	246.617405	-72.894071	36	36	162628.17-725338.6	57121.7184	1	0	1	1	1	0.54																	18.3918	0.023	18.3397	0.1258					8.0	404545694
☄	400.99	404592602	246.792647	-73.071527	36	36	162710.23-730417.4	57121.7184	0	0	1	1	1	0.361																	18.9902	0.0846	18.4871	0.1108					10.7	404592603
☄	401.2	404591215	246.471029	-73.111124	16	35	162553.04-730640.0	57033.9929	0	0	17	4	1	0.983									15.0377	0.0055	15.0688	0.019	14.4509	0.0097	14.4564	0.0114	14.0252	0.0053	14.0346	0.0069	13.8229	0.0052	13.8301	0.006	14.3	404591214
