,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,1011.35,504027747,18.374877,-50.564878,50,65,011329.97-503353.5,57861.2387,0,0,4,1,1,0.7,,,,,,,,,19.9977,0.0273,19.6386,0.0977,19.6319,0.0176,19.536,0.1085,19.4124,0.0979,19.2563,0.1833,,,,,15,
☄,1011.5,504034426,19.055669,-50.214558,101,65,011613.36-501252.4,57966.2227,0,3,4,1,1,0.798,,,,,,,,,20.1074,0.0237,20.1182,0.0801,19.8727,0.0157,19.8171,0.1077,19.687,0.0399,20.0113,0.2443,,,,,8.6,504034425
☄,1012.3,504034248,19.184043,-50.366685,26,31,011644.17-502200.0,57850.2194,0,0,11,2,1,0.866,,,,,,,,,19.8722,0.0361,19.8278,0.0919,19.4208,0.0206,19.3584,0.0563,18.9441,0.0349,18.8281,0.1141,18.622,0.0154,18.5359,0.1434,15,
☄,1012.71,504033867,18.509963,-50.180819,116,36,011402.39-501050.9,57967.7472,0,0,3,1,1,0.445,,,,,,,,,,,,,20.344,0.0434,20.0448,0.0941,19.7878,0.1038,19.3777,0.167,,,,,15,
☄,1013.86,504028784,19.144809,-50.543927,58,48,011634.75-503238.1,57811.403,0,0,11,2,1,0.648,,,,,,,,,20.6136,0.0677,20.6502,0.1265,19.9805,0.0212,19.6517,0.1234,19.1209,0.0404,18.8611,0.0642,18.7381,0.0339,18.5592,0.0714,15,
☄,1014.35,504027632,18.665733,-50.693298,36,36,011439.77-504135.8,57962.7832,0,0,1,1,1,0.456,,,,,,,,,,,,,20.3952,0.0718,20.2938,0.2011,,,,,,,,,13.5,504027633
☄,1014.42,504032933,18.308479,-50.433375,25,26,011314.03-502600.1,57865.4026,0,17,13,1,1,0.999,17.0713,0.0316,17.086,0.1545,16.7335,0.0099,16.7405,0.03,14.8469,0.0074,14.8507,0.0074,14.3496,0.0074,14.3531,0.0074,14.0077,0.0061,14.018,0.0061,13.8787,0.0105,13.8878,0.0106,15,
☄,1014.53,504027733,18.404501,-50.593111,24,36,011337.08-503535.1,57785.3228,0,10,7,1,1,0.983,,,,,,,,,17.7754,0.0107,17.787,0.0209,17.1717,0.0105,17.1846,0.0159,16.7249,0.0061,16.7634,0.0114,16.5566,0.0154,16.5977,0.0196,15,
☄,1015.15,504027568,18.591145,-50.679968,129,60,011421.87-504047.8,57895.0867,0,0,6,2,1,0.708,,,,,,,,,20.1809,0.0409,20.2149,0.0735,19.7024,0.0087,19.7882,0.0727,19.3076,0.0213,19.4303,0.1165,,,,,15,
☄,1015.56,504028652,19.130683,-50.561301,97,23,011631.36-503340.6,57881.2592,0,4,10,1,1,0.951,,,,,,,,,19.4542,0.0324,19.4985,0.0441,19.2972,0.0577,19.4148,0.0635,19.1149,0.0297,18.9666,0.1096,18.9334,0.0327,19.1749,0.1971,15,
