,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,1469.46,17706653,52.161548,-28.23117,57,205,032838.77-281352.2,57205.5822,0,3,7,3,1,0.933,,,,,,,,,,,,,,,,,17.2675,0.0165,17.2742,0.0373,16.7018,0.0333,16.7243,0.0683,15,
☄,1470.19,17709442,52.97942,-27.866517,17,30,033155.06-275159.4,57292.7339,0,10,26,3,1,0.989,16.5806,0.016,16.5357,0.074,16.2099,0.055,16.2872,0.0648,14.4939,0.0064,14.5046,0.0145,14.0696,0.0062,14.059,0.0236,13.8011,0.0082,13.813,0.0104,13.7111,0.0049,13.7054,0.0178,15,
☄,1470.5,17707267,52.702352,-28.498406,30,27,033048.56-282954.2,57168.5787,0,0,8,1,1,0.978,,,,,,,,,,,,,18.6199,0.0512,18.3784,0.1953,17.0686,0.0118,17.0667,0.0816,16.5414,0.0098,16.6217,0.0377,15,
☄,1470.93,17707326,52.825631,-28.457023,29,30,033118.15-282725.2,57093.5473,0,0,13,2,1,0.976,,,,,,,,,17.8901,0.0154,17.8414,0.1682,17.3088,0.0093,17.4264,0.0643,17.0367,0.0357,17.0761,0.0529,16.8427,0.0206,16.8296,0.0375,15,
☄,1471.18,17709144,53.063094,-28.089546,44,97,033215.14-280522.3,57970.8182,0,0,2,1,1,0.492,,,,,,,,,,,,,,,,,18.8899,0.0666,18.3619,0.0928,18.5093,0.0455,18.2821,0.1122,15,
☄,1471.45,17706965,52.142143,-28.037986,198,48,032834.11-280216.7,57461.6781,0,0,2,2,1,0.349,,,,,,,,,,,,,,,,,19.4785,0.0508,19.3188,0.2556,,,,,15,
☄,1472.25,17709467,53.028491,-27.944538,36,36,033206.83-275640.3,57970.8174,0,0,1,1,1,0.544,,,,,,,,,,,,,,,,,19.5801,0.0335,19.3952,0.1717,,,,,15,
☄,1472.5,17706645,52.263214,-28.381559,63,36,032903.17-282253.6,57067.8327,0,0,15,3,1,0.981,,,,,,,,,16.8733,0.0501,16.59,0.1584,16.7796,0.0374,16.1686,0.2697,16.5943,0.0388,16.6084,0.1125,16.652,0.0097,16.6226,0.0584,15,
☄,1474.54,17709041,53.061992,-28.141811,36,36,033214.87-280830.5,57970.8174,0,0,1,1,1,0.524,,,,,,,,,,,,,,,,,19.3252,0.0225,19.6005,0.118,,,,,15,
☄,1475.19,17707795,53.018983,-28.277597,241,36,033204.55-281639.3,57168.2051,0,0,4,2,1,0.625,,,,,,,,,,,,,,,,,17.9643,0.0163,17.8902,0.1564,17.39,0.0179,17.4037,0.0665,15,
☄,1475.97,17708518,52.451682,-27.711523,36,45,032948.40-274241.4,57287.6411,0,0,3,1,1,0.518,,,,,,,,,,,,,,,,,19.3347,0.0395,19.2175,0.0989,18.8777,0.104,18.6682,0.172,10.4,17708517
☄,1477.51,17706738,52.540601,-28.507074,61,46,033009.74-283025.4,57436.9672,0,0,4,2,1,0.919,,,,,,,,,,,,,,,,,17.8796,0.0102,17.9859,0.0742,17.5896,0.016,17.4881,0.0779,15,
☄,1477.72,17709472,53.007705,-27.902747,165,25,033201.84-275409.8,57970.8182,0,0,2,1,1,0.793,,,,,,,,,,,,,,,,,18.5943,0.0154,18.7257,0.0721,18.5168,0.032,18.2804,0.1365,15,
☄,1477.72,17707675,52.95648,-28.364295,57,66,033149.55-282151.4,57065.4672,0,0,13,2,1,0.528,,,,,,,,,17.9448,0.0192,17.2209,0.3,17.4269,0.0306,16.6071,0.2524,16.9032,0.042,16.2134,0.0963,16.7378,0.0398,15.9342,0.1052,15,
☄,1478.01,17706867,52.135879,-28.131424,226,173,032832.61-280753.1,57355.8895,0,3,7,3,1,0.781,,,,,,,,,,,,,,,,,18.0199,0.0095,17.9925,0.0434,17.5798,0.0319,17.4354,0.1136,15,
☄,1479.86,17709048,53.065294,-28.123455,36,36,033215.67-280724.4,57970.8174,0,0,1,1,1,0.471,,,,,,,,,,,,,,,,,19.5805,0.0246,19.34,0.1343,,,,,15,
