,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,38.97,499936886,45.001022,-55.405856,65,60,030000.24-552421.0,57641.2098,0,3,9,4,1,0.784,,,,,,,,,,,,,,,,,18.9624,0.0357,18.9783,0.1083,18.215,0.0218,18.25,0.0635,15,
☄,49.97,499936875,44.984232,-55.427277,21,19,025956.21-552538.1,57450.0481,0,9,22,5,1,0.984,,,,,,,,,16.6114,0.0055,16.6286,0.0081,15.9512,0.0056,15.9739,0.0073,15.5566,0.0044,15.5677,0.0098,15.4003,0.0062,15.4298,0.0109,13.3,499936876
☄,50.49,499936876,44.979662,-55.424634,30,40,025955.11-552528.6,57556.0663,0,3,15,3,1,0.971,,,,,,,,,19.8951,0.0252,19.991,0.0888,19.0382,0.0249,19.0965,0.067,17.7844,0.0067,17.8072,0.0273,17.3162,0.0074,17.3564,0.0494,13.3,499936875
☄,63.56,499936888,45.003451,-55.399121,106,49,030000.82-552356.8,57699.0283,0,0,2,2,1,0.481,,,,,,,,,,,,,20.8182,0.0188,21.0684,0.1425,,,,,,,,,15,
☄,74.25,499936889,44.974302,-55.402086,31,36,025953.83-552407.5,57589.9832,0,6,24,4,1,0.982,,,,,,,,,18.9051,0.0083,18.9453,0.0252,18.1457,0.005,18.1524,0.0127,17.5967,0.0141,17.6101,0.0161,17.3671,0.0173,17.3653,0.0499,15,
☄,79.04,499936871,45.038681,-55.416438,21,24,030009.28-552459.1,57478.9621,0,6,22,2,1,0.983,18.0748,0.0287,17.9764,0.1919,17.7162,0.0124,17.8107,0.0448,16.6562,0.0083,16.6792,0.0087,16.4224,0.0066,16.4427,0.0098,16.2802,0.007,16.2979,0.009,16.2842,0.0065,16.3089,0.0255,15,
☄,80,499936887,45.033434,-55.405111,37,34,030008.02-552418.3,57596.1324,0,2,22,4,1,0.98,,,,,,,,,19.4513,0.0119,19.4736,0.0301,18.5758,0.0091,18.5584,0.0166,17.2258,0.0075,17.2311,0.0176,16.7211,0.0117,16.7505,0.0164,15,
☄,80.47,499936863,45.005508,-55.438799,64,58,030001.32-552619.6,57699.2096,0,0,10,3,1,0.877,,,,,,,,,20.2012,0.0787,20.1565,0.1701,19.7501,0.0268,19.742,0.1017,19.4313,0.0275,19.4892,0.0711,,,,,15,
☄,80.54,499936880,44.961083,-55.413129,24,77,025950.65-552447.2,57565.8425,3,6,15,1,1,0.976,,,,,,,,,20.4798,0.0131,20.4019,0.1118,19.5439,0.017,19.4052,0.0554,17.7588,0.0162,17.8117,0.0279,17.0321,0.0137,17.0105,0.0464,10.6,499936881
☄,80.95,499936864,44.988013,-55.4381,27,21,025957.12-552617.1,57437.2516,0,23,31,5,1,0.999,16.3322,0.0134,16.3397,0.0312,15.9432,0.0147,15.9742,0.0206,13.9344,0.0048,13.9504,0.005,13.4276,0.0047,13.4444,0.0061,13.1325,0.0047,13.1501,0.0059,13.0301,0.0047,13.0555,0.0058,15,
☄,88.16,499936868,45.037702,-55.428576,44,21,030009.04-552542.8,57101.6627,3,1,14,2,1,0.997,15.4474,0.0092,15.443,0.0459,15.0825,0.0114,15.042,0.0241,13.4109,0.0073,13.3912,0.0109,12.9983,0.0079,12.9946,0.0095,12.7655,0.0074,12.7548,0.0238,12.6977,0.0083,12.7128,0.0107,3.5,499936869
☄,89.21,499936872,45.042289,-55.410514,36,65,030010.14-552437.8,57592.426,0,1,20,4,1,0.549,,,,,,,,,19.5734,0.0373,19.0785,0.0345,18.7642,0.0438,18.2781,0.0486,18.1336,0.0348,17.6142,0.0405,17.9265,0.0253,17.4251,0.0685,15,
☄,90.72,499936869,45.039361,-55.428328,36,36,030009.44-552541.9,57567.8208,0,4,1,1,1,0.848,,,,,,,,,,,,,,,,,,,,,12.739,0.2021,11.7027,0.0105,2,499936870
☄,91,499936881,44.95617,-55.412194,26,19,025949.48-552443.8,57473.0219,2,3,30,4,1,1,17.0373,0.0224,17.0726,0.0393,16.693,0.0229,16.7127,0.036,14.9428,0.0065,14.9504,0.0085,14.5001,0.0043,14.5116,0.0061,14.2529,0.0043,14.27,0.0059,14.1791,0.0057,14.198,0.0061,10.6,499936880
☄,92.17,499936870,45.040295,-55.428178,27,27,030009.67-552541.4,57175.538,3,9,16,2,1,0.998,14.4876,0.0215,14.2651,0.0917,14.1791,0.0087,14.1596,0.0128,12.8007,0.0078,12.798,0.0075,12.4571,0.0076,12.4687,0.0074,12.2799,0.0077,12.2995,0.0074,12.233,0.0055,12.2407,0.0125,2,499936869
☄,95.72,499936890,44.993246,-55.390355,32,104,025958.37-552325.2,57681.351,0,0,8,1,1,0.834,,,,,,,,,20.1991,0.0091,20.2187,0.0594,20.0196,0.0146,20.0229,0.059,19.5386,0.0459,19.5245,0.1342,,,,,15,
☄,104.89,499936860,45.027592,-55.44124,342,39,030006.62-552628.4,57697.041,0,0,2,2,1,0.507,,,,,,,,,,,,,20.3788,0.1339,20.2546,0.2026,,,,,,,,,15,
☄,111.68,499936866,45.046761,-55.432737,100,73,030011.22-552557.8,57697.041,0,0,2,2,1,0.418,,,,,,,,,,,,,20.3436,0.0635,20.2162,0.1872,,,,,,,,,9.4,499936865
☄,115.88,499936879,44.943355,-55.415164,64,70,025946.40-552454.5,57697.8545,0,0,6,3,1,0.505,,,,,,,,,20.341,0.0653,19.7694,0.0983,20.165,0.0695,19.3536,0.2414,,,,,,,,,15,
☄,116.8,499936865,45.046728,-55.435361,121,86,030011.21-552607.2,57837.0944,0,0,2,1,1,0.447,,,,,,,,,,,,,20.7099,0.0446,20.9916,0.279,19.4581,0.0312,19.533,0.1575,,,,,9.4,499936866
☄,122.21,499936885,44.943485,-55.405574,37,51,025946.43-552420.0,57686.3514,0,2,20,5,1,0.909,,,,,,,,,19.8795,0.0222,19.6303,0.0676,19.2648,0.0193,19.0347,0.0548,18.7106,0.0174,18.5097,0.0454,18.4621,0.0414,18.3794,0.0968,15,
☄,129.77,499936891,45.005451,-55.380753,58,36,030001.30-552250.7,57698.576,0,0,2,2,1,0.376,,,,,,,,,,,,,20.7882,0.035,21.096,0.5741,,,,,,,,,15,
☄,135.36,499936884,44.934395,-55.411484,63,59,025944.25-552441.3,57551.5023,0,8,22,4,1,0.605,,,,,,,,,18.955,0.0718,17.8252,0.0402,18.3266,0.058,17.2413,0.0348,17.7952,0.0545,16.8114,0.0367,17.4691,0.0474,16.6683,0.0473,13.4,499936883
☄,139.58,499936859,45.027262,-55.45222,36,36,030006.54-552707.9,57699.4779,0,0,1,1,1,0.364,,,,,,,,,,,,,20.6476,0.0826,20.6162,0.2707,,,,,,,,,15,
☄,140.66,499937078,44.94648,-55.392108,36,36,025947.15-552331.5,57698.5788,0,0,1,1,1,0.351,,,,,,,,,,,,,20.8366,0.0711,20.6727,0.1382,,,,,,,,,15,
☄,142.35,499936883,44.930446,-55.414468,25,17,025943.30-552452.0,57519.0658,0,7,33,4,1,0.995,17.3895,0.0259,17.3598,0.0407,17.0346,0.007,17.0511,0.0206,16.3026,0.005,16.3127,0.0066,16.0984,0.0045,16.1245,0.0066,15.9874,0.0054,16.0188,0.0067,15.9815,0.0117,16.0366,0.0106,13.4,499936884
☄,143.07,499936964,45.065435,-55.402541,51,28,030015.70-552409.1,57591.5404,0,0,15,1,1,0.956,,,,,,,,,20.3434,0.0196,20.2936,0.1118,19.4523,0.0089,19.5104,0.0457,18.1524,0.0116,18.1609,0.0336,17.6466,0.011,17.6877,0.0466,9.3,499936965
☄,144.54,499936874,44.953889,-55.447121,122,172,025948.93-552649.6,57697.041,0,0,2,2,1,0.496,,,,,,,,,,,,,20.2479,0.0644,20.2641,0.1333,,,,,,,,,15,
