,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,196.76,460714130,152.708909,-80.862376,16,35,101050.13-805144.5,57147.7779,3,3,14,3,1,0.983,,,,,,,,,16.4334,0.0283,16.5359,0.0525,15.8367,0.0167,15.8955,0.023,15.4832,0.0098,15.43,0.0612,15.3009,0.012,15.3232,0.0236,10.3,460714128
☄,196.9,460713438,152.996886,-80.778641,25,25,101159.25-804643.1,57196.413,0,0,12,1,1,0.929,,,,,,,,,18.368,0.0148,18.3972,0.2386,17.4549,0.2009,17.5581,0.2778,17.0234,0.017,17.0901,0.0487,16.8063,0.0199,16.9085,0.079,15,
☄,201.19,460714128,152.693991,-80.860788,76,76,101046.55-805138.8,57061.5162,0,0,3,1,1,0.609,,,,,,,,,,,,,18.1374,0.0157,18.1574,0.1596,17.8506,0.0275,17.95,0.1683,17.8528,0.0326,18.0512,0.2196,10.3,460714130
☄,201.31,460714029,153.350995,-80.83284,70,28,101324.23-804958.2,57105.5989,3,0,9,2,1,0.975,,,,,,,,,,,,,17.1453,0.0613,16.9837,0.0965,16.3732,0.0178,16.3841,0.0745,16.0179,0.0161,15.9475,0.0807,10.6,460714030
☄,203.69,460714129,152.679274,-80.857783,19,24,101043.02-805128.0,57142.0268,0,3,15,1,1,0.982,,,,,17.4768,0.0209,17.6294,0.2107,16.0567,0.0218,16.0265,0.0423,15.6603,0.0281,15.7003,0.0416,15.4135,0.0062,15.4393,0.0115,15.3536,0.0077,15.4369,0.0196,13.7,460714128
☄,205,460714123,152.765326,-80.876364,35,128,101103.67-805234.9,57241.2615,3,0,9,1,1,0.923,,,,,,,,,17.658,0.0345,17.9226,0.1432,17.026,0.0096,16.9265,0.0949,16.6608,0.0111,16.4918,0.0672,16.5687,0.0075,16.429,0.0764,7.2,460714124
☄,205.64,460713408,153.295726,-80.80115,90,36,101310.97-804804.1,57264.5095,0,0,4,1,1,0.557,,,,,,,,,,,,,18.1594,0.0173,18.2133,0.1594,17.8258,0.0237,17.955,0.0708,17.7667,0.0196,18.017,0.1872,15,
☄,207.13,460714105,152.907375,-80.888956,67,36,101137.77-805320.2,57264.5095,0,0,4,1,1,0.518,,,,,,,,,,,,,18.2017,0.026,18.1447,0.1501,17.915,0.0084,17.8697,0.0634,17.9485,0.0256,18.1343,0.2922,15,
☄,207.81,460714118,152.640007,-80.840101,32,78,101033.60-805024.3,57264.2467,0,0,8,4,1,0.937,,,,,,,,,,,,,,,,,17.3357,0.0128,17.3818,0.0392,16.8862,0.0196,16.9992,0.0462,15,
☄,208.28,460714120,152.709934,-80.86826,79,53,101050.38-805205.7,57332.1738,0,0,3,1,1,0.493,,,,,,,,,,,,,18.3656,0.0358,18.4073,0.1733,18.0896,0.0126,18.4067,0.1012,,,,,15,
