,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,1.47,406586209,218.498561,-78.100279,36,36,143359.65-780601.0,57199.427,0,0,1,1,1,0.515,,,,,,,,,,,,,,,,,19.3211,0.018,19.3172,0.1511,,,,,15,
☄,14.63,406586208,218.509613,-78.096454,24,18,143402.30-780547.2,57208.434,0,0,18,2,1,0.984,16.8859,0.0183,17.0833,0.1042,16.4959,0.0134,16.5581,0.082,15.6226,0.0084,15.6653,0.0276,15.2475,0.0135,15.2747,0.0289,15.0843,0.0054,15.1065,0.0084,15.0145,0.0112,15.0482,0.0079,11,406586211
☄,16.23,406586211,218.520614,-78.098501,36,36,143404.94-780554.6,57199.427,0,0,1,1,1,0.516,,,,,,,,,,,,,,,,,19.3381,0.015,19.5246,0.2062,,,,,11,406586208
☄,22.81,406586214,218.471418,-78.102331,20,71,143353.14-780608.3,57233.3102,0,0,13,1,1,0.983,,,,,17.0548,0.0163,17.1342,0.1515,15.8603,0.0259,15.8293,0.0489,15.5217,0.0163,15.57,0.0208,15.2812,0.0062,15.3046,0.0099,15.2011,0.006,15.2241,0.0203,12.8,406586213
☄,23.77,406586212,218.497949,-78.10659,36,36,143359.50-780623.7,57199.427,0,0,1,1,1,0.534,,,,,,,,,,,,,,,,,19.2149,0.0283,19.2194,0.1437,,,,,15,
☄,29.09,406586210,218.535784,-78.096707,36,23,143408.58-780548.1,57218.9685,0,3,13,1,1,0.982,,,,,,,,,17.1206,0.0144,17.1473,0.1094,16.9738,0.046,16.9688,0.1074,16.7692,0.0192,16.8088,0.0283,16.6869,0.0136,16.8035,0.0401,9.2,406586196
☄,32.53,406586094,218.459217,-78.096694,70,94,143350.21-780548.0,57081.7539,0,0,3,1,1,0.857,,,,,,,,,,,,,,,,,18.2285,0.0271,18.0396,0.0976,17.9283,0.0289,18.0295,0.1482,15,
☄,33.03,406586213,218.45572,-78.100892,35,68,143349.37-780603.2,57001.7105,0,0,4,1,1,0.938,,,,,,,,,,,,,,,,,17.9821,0.0195,18.1758,0.0635,17.802,0.0558,18.0123,0.169,12.8,406586214
☄,35.55,406586196,218.538803,-78.094215,65,64,143409.31-780539.1,57199.4277,0,0,2,1,1,0.491,,,,,,,,,,,,,,,,,19.4647,0.0304,19.6776,0.2365,18.6292,0.0788,18.2756,0.1416,9.2,406586210
☄,36.27,406586093,218.501734,-78.089931,36,158,143400.41-780523.7,57199.4284,0,0,2,2,1,0.587,,,,,,,,,,,,,,,,,18.8636,0.0356,18.693,0.1599,,,,,5.4,406586092
☄,40.83,406586092,218.505948,-78.088725,67,64,143401.42-780519.4,57199.4291,0,0,4,2,1,0.888,,,,,,,,,,,,,,,,,18.4773,0.0095,18.4833,0.1012,18.2802,0.0183,18.1994,0.1638,5.4,406586093
☄,42.42,406586075,218.517698,-78.088797,30,35,143404.24-780519.6,57199.4291,0,0,4,2,1,0.917,,,,,,,,,,,,,,,,,18.3399,0.0188,18.5606,0.0476,18.4122,0.0271,18.6275,0.1194,8.7,406586092
☄,45.03,406586215,218.442141,-78.103766,36,36,143346.11-780613.5,57199.4298,0,0,1,1,1,0.637,,,,,,,,,,,,,,,,,18.6223,0.0117,18.7901,0.1284,,,,,14.4,406586213
☄,47.69,406586096,218.436147,-78.098546,27,30,143344.67-780554.7,57099.6822,0,0,16,3,1,0.983,,,,,,,,,17.1833,0.0411,17.2207,0.0784,16.5383,0.0261,16.5752,0.0386,16.0526,0.0125,16.0763,0.0145,15.8551,0.0173,15.8743,0.0351,15,
☄,48.08,406586221,218.500821,-78.113354,27,112,143400.19-780648.0,57199.4291,0,0,4,2,1,0.72,,,,,,,,,,,,,,,,,18.6624,0.0613,18.7461,0.0944,18.4451,0.0434,18.4923,0.1092,15,
☄,52.98,406586091,218.468876,-78.086758,36,36,143352.53-780512.3,57199.4298,0,0,1,1,1,0.504,,,,,,,,,,,,,,,,,18.98,0.0459,19.4658,0.181,,,,,9.6,406586088
☄,53.08,406586090,218.483897,-78.085635,36,36,143356.13-780508.2,57199.4312,0,0,1,1,1,0.494,,,,,,,,,,,,,,,,,,,,,18.2924,0.0192,18.3558,0.219,11.9,406586091
☄,54.25,406586197,218.571436,-78.096828,21,24,143417.14-780548.5,57088.9212,0,3,18,2,1,0.986,15.1601,0.0193,15.1303,0.0377,14.7531,0.0074,14.7808,0.0241,13.7048,0.0074,13.6939,0.0092,13.4363,0.0098,13.4413,0.0069,13.2769,0.0053,13.2874,0.0055,13.245,0.0053,13.2509,0.0147,15,
☄,54.43,406586204,218.572561,-78.102181,77,33,143417.41-780607.8,57163.5137,0,0,7,3,1,0.974,,,,,,,,,,,,,,,,,17.771,0.021,17.7892,0.0333,17.6852,0.0128,17.8642,0.1075,15,
☄,55.42,406586222,218.475934,-78.114573,36,36,143354.22-780652.4,57199.4298,0,0,1,1,1,0.524,,,,,,,,,,,,,,,,,18.712,0.03,19.0583,0.1397,,,,,15,
