,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,735.65,460656330,152.385758,-79.951922,23,47,100932.58-795706.9,57370.0938,0,4,16,1,1,0.984,,,,,16.8219,0.0214,18.1387,0.6853,14.4278,0.015,14.4287,0.0266,13.7792,0.0107,13.7853,0.0134,13.3496,0.0097,13.33,0.0151,13.1496,0.0063,13.119,0.0141,12,460656334
☄,735.68,460716912,150.108596,-79.869876,110,56,100026.06-795211.5,57196.4942,0,0,12,2,1,0.856,,,,,,,,,17.7548,0.0173,17.8574,0.1874,17.3893,0.0264,17.2599,0.0678,16.9477,0.0223,16.5989,0.0411,16.8171,0.0542,16.3793,0.1014,15,
☄,735.72,460717057,150.187085,-80.026173,27,279,100044.90-800134.2,57467.5027,0,0,2,2,1,0.397,,,,,,,,,,,,,,,,,18.2718,0.0517,18.7939,0.4403,,,,,15,
☄,736.05,460716427,150.627168,-80.106294,37,29,100230.52-800622.6,57221.6234,3,0,17,3,1,0.984,,,,,,,,,16.5201,0.0171,16.4433,0.1975,15.921,0.0193,15.9498,0.0282,15.5196,0.0069,15.4821,0.0272,15.331,0.0052,15.3057,0.033,7.8,460716430
☄,736.47,460715005,152.279593,-80.019235,34,35,100907.10-800109.2,57196.8456,0,0,3,1,1,0.513,,,,,,,,,,,,,,,,,18.0796,0.0145,17.9531,0.1019,17.7803,0.028,17.9339,0.189,15,
☄,736.56,460656278,152.375949,-79.897125,8,26,100930.22-795349.6,57141.4806,3,0,10,2,1,0.982,,,,,,,,,16.0623,0.0242,16.0833,0.0368,15.3754,0.0416,15.388,0.0389,14.9131,0.0165,14.8481,0.0479,14.7622,0.0155,14.6846,0.0447,11.7,460656280
☄,736.61,460656287,152.392421,-79.93805,67,31,100934.18-795616.9,57273.9536,0,0,9,1,1,0.941,,,,,,,,,17.3941,0.0143,17.4681,0.1617,17.1045,0.0158,17.1198,0.0665,16.766,0.0082,16.8194,0.0363,16.6442,0.0124,16.7179,0.0885,15,
☄,737,460716874,150.177183,-79.839274,32,30,100042.52-795021.3,57162.7493,0,0,8,1,1,0.909,,,,,,,,,18.1161,0.0546,17.6744,0.1253,17.7494,0.0139,17.7537,0.1212,17.3688,0.0115,17.1037,0.1392,17.2987,0.02,16.8995,0.0817,12.6,460716872
☄,737.3,460715059,152.162439,-80.053384,17,31,100838.98-800312.1,57391.0166,0,9,15,2,1,0.983,,,,,,,,,16.3581,0.0305,16.3566,0.035,15.6402,0.0072,15.657,0.0347,15.1104,0.0079,15.123,0.0111,14.8889,0.0062,14.9276,0.025,15,
☄,737.65,460715018,152.226416,-80.037078,25,90,100854.33-800213.4,57264.5095,0,0,4,1,1,0.546,,,,,,,,,,,,,18.2853,0.0201,18.3919,0.2413,17.9859,0.0104,17.8537,0.2244,17.8587,0.0343,17.9982,0.2495,15,
☄,737.69,460656275,152.351793,-79.876801,36,36,100924.43-795236.4,57467.5013,1,0,1,1,1,0.519,,,,,,,,,,,,,,,,,18.1369,0.0231,18.3088,0.1255,,,,,9.8,460656274
