,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,529.46,483459166,286.659467,-64.512131,15,25,190638.27-643043.6,57026.7531,0,0,27,3,1,0.991,16.4823,0.0246,16.5589,0.0596,16.1011,0.0074,16.0969,0.0425,15.1647,0.0088,15.1778,0.0148,14.9059,0.0055,14.9165,0.0107,14.7913,0.0043,14.8154,0.0056,14.7883,0.0067,14.8252,0.0075,13.3,483460241
☄,529.53,483459943,286.893371,-64.360294,29,51,190734.40-642137.0,57027.2494,0,0,14,2,1,0.982,,,,,,,,,17.0569,0.0154,16.9969,0.1837,16.612,0.0086,16.6853,0.0613,16.4079,0.0091,16.3078,0.0095,16.2995,0.0117,16.2338,0.0195,15,
☄,529.55,483460624,286.928665,-64.643874,35,45,190742.87-643837.9,57180.7598,0,0,4,2,1,0.623,,,,,,,,,,,,,,,,,19.7649,0.0781,19.7166,0.1006,19.365,0.0913,19.3011,0.2275,15,
☄,529.89,483459230,286.694351,-64.566279,48,39,190646.64-643358.6,57180.7598,0,0,4,2,1,0.922,,,,,,,,,,,,,,,,,19.1313,0.0229,19.2077,0.0758,18.6193,0.0095,18.6871,0.0975,15,
☄,530.02,483477072,287.3232,-64.452234,21,30,190917.56-642708.0,57079.6603,0,0,6,2,1,0.981,,,,,,,,,,,,,17.7662,0.0218,17.6635,0.1094,17.7295,0.0076,17.803,0.0208,17.6775,0.0172,17.7843,0.0513,6.6,483477074
☄,530.11,483461075,287.198433,-64.620074,40,112,190847.62-643712.2,57180.7591,0,0,2,2,1,0.671,,,,,,,,,,,,,,,,,19.8171,0.0273,19.8116,0.1349,,,,,15,
☄,530.26,483460448,286.750958,-64.60121,34,157,190700.22-643604.3,57180.7591,0,0,2,2,1,0.522,,,,,,,,,,,,,,,,,20.0657,0.0254,20.2935,0.1178,,,,,15,
☄,530.3,483459707,286.692185,-64.435993,40,51,190646.12-642609.5,57093.2487,0,0,11,1,1,0.981,,,,,,,,,,,,,18.1621,0.0314,18.3724,0.2616,17.8199,0.0062,17.8637,0.024,17.621,0.0154,17.6304,0.0462,10.5,483459706
☄,530.3,483477075,287.328478,-64.459116,27,32,190918.83-642732.8,57180.7598,0,0,4,2,1,0.981,,,,,,,,,,,,,,,,,17.8595,0.0102,17.9376,0.0227,17.5504,0.0092,17.6025,0.0358,15,
☄,530.32,483477245,287.332255,-64.535597,22,35,190919.74-643208.1,57180.7559,0,0,3,1,1,0.826,,,,,,,,,,,,,,,,,19.6612,0.0812,19.6897,0.1056,19.2127,0.0206,19.3291,0.1654,11.1,483477246
☄,530.39,483476153,287.051626,-64.354364,27,45,190812.39-642115.7,56993.1947,0,0,10,2,1,0.983,,,,,,,,,17.8774,0.0212,17.8089,0.1138,17.7588,0.019,17.8246,0.0992,17.4709,0.0218,17.5319,0.0175,17.4318,0.0095,17.5499,0.0296,12,483476275
☄,530.45,483460648,286.971426,-64.646836,30,39,190753.14-643848.6,56938.8789,0,0,9,2,1,0.982,,,,,,,,,,,,,17.7499,0.0246,17.9604,0.1336,17.3053,0.0403,17.3785,0.0432,17.1335,0.0116,17.1813,0.0391,15,
☄,530.45,483477125,287.342162,-64.496851,36,36,190922.11-642948.6,57180.748,0,0,1,1,1,0.488,,,,,,,,,,,,,,,,,20.4455,0.0481,20.7452,0.2839,,,,,15,
☄,530.7,483459234,286.711392,-64.579618,42,53,190650.73-643446.6,57298.3481,0,0,5,2,1,0.969,,,,,,,,,,,,,,,,,18.7932,0.0101,18.9149,0.0595,18.3433,0.0135,18.3481,0.0923,15,
☄,530.94,483476382,287.183204,-64.375493,36,36,190843.96-642231.7,57180.748,0,0,1,1,1,0.509,,,,,,,,,,,,,,,,,20.2028,0.045,20.5071,0.2171,,,,,14.1,483476383
☄,531.28,483459939,286.879421,-64.361902,36,36,190731.06-642142.8,57180.7701,0,0,1,1,1,0.493,,,,,,,,,,,,,,,,,20.0245,0.0392,20.1964,0.1649,,,,,15,
☄,531.3,483468306,287.168201,-64.628693,22,29,190840.36-643743.2,57180.7598,0,0,4,2,1,0.977,,,,,,,,,,,,,,,,,18.3206,0.017,18.3459,0.0566,18.2513,0.0148,18.3502,0.0738,13.5,483461058
☄,531.44,483459721,286.665232,-64.468418,48,39,190639.65-642806.3,57180.7598,2,0,4,2,1,0.91,,,,,,,,,,,,,,,,,19.3979,0.0367,19.2497,0.1536,18.7938,0.029,18.7195,0.0824,3,483459720
☄,531.51,483477192,287.275769,-64.588027,18,43,190906.18-643516.8,57180.7598,0,0,4,2,1,0.917,,,,,,,,,,,,,,,,,19.488,0.0618,19.5798,0.1814,19.173,0.0613,19.4892,0.1403,13.9,483477191
☄,531.67,483477244,287.336579,-64.528935,36,36,190920.77-643144.1,57180.748,0,0,1,1,1,0.502,,,,,,,,,,,,,,,,,20.2641,0.0634,20.8723,0.4192,,,,,15,
☄,532.08,483468200,287.038001,-64.646897,24,44,190809.12-643848.8,57075.0054,0,0,6,1,1,0.98,,,,,,,,,,,,,17.8552,0.029,18.0212,0.1397,17.7232,0.0131,17.6217,0.0211,17.5639,0.0103,17.5614,0.0301,15,
☄,532.11,483459720,286.66523,-64.467577,36,36,190639.65-642803.2,57180.748,3,0,1,1,1,0.555,,,,,,,,,,,,,,,,,19.9391,0.0303,19.9378,0.1169,,,,,3,483459721
☄,532.69,483477209,287.291085,-64.578972,56,37,190909.86-643444.2,57180.7598,0,0,4,2,1,0.926,,,,,,,,,,,,,,,,,19.2831,0.0706,19.3659,0.0868,19.254,0.0189,19.2848,0.1359,15,
☄,532.75,483476383,287.19135,-64.377187,32,27,190845.92-642237.8,57004.6172,0,0,19,4,1,0.985,,,,,,,,,17.275,0.0103,17.3703,0.0787,16.9513,0.01,16.9939,0.0484,16.7489,0.0151,16.79,0.011,16.6587,0.0218,16.7463,0.0278,14.1,483476382
☄,533.59,483476444,287.253227,-64.399798,34,69,190900.77-642359.2,57180.7598,0,0,4,2,1,0.904,,,,,,,,,,,,,,,,,19.2305,0.017,19.1541,0.1766,19.1588,0.0421,19.0823,0.2189,9.5,483476425
☄,533.65,483460462,286.769868,-64.610444,33,26,190704.76-643637.5,57180.7598,0,0,4,2,1,0.972,,,,,,,,,,,,,,,,,18.5642,0.0127,18.7324,0.0407,18.3918,0.0194,18.5733,0.0961,6.6,483460461
☄,533.71,483477211,287.307738,-64.566858,48,89,190913.85-643400.6,57180.7598,0,0,4,2,1,0.773,,,,,,,,,,,,,,,,,19.6742,0.0464,19.8054,0.1051,19.0285,0.0188,18.9867,0.1598,13.4,483477213
☄,534.04,483476278,287.070309,-64.354793,102,36,190816.87-642117.2,57180.7591,0,0,2,2,1,0.549,,,,,,,,,,,,,,,,,19.8341,0.0154,19.9667,0.1386,,,,,8.9,483476279
