	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	478.54	458075783	135.316695	-70.077336	21	23	090116.00-700438.4	57569.448	0	0	16	3	1	0.98									20.109	0.0206	20.0947	0.1062	19.1275	0.0154	19.152	0.0425	17.9433	0.0251	17.9874	0.0247	17.5019	0.0143	17.5642	0.0377	11.1	458075782
☄	478.58	458072914	134.808972	-69.884325	23	40	085914.15-695303.5	57550.9546	2	0	23	4	1	0.98									18.2146	0.0121	18.1514	0.0337	17.8324	0.01	17.8623	0.0122	17.5971	0.022	17.6799	0.0447	17.5739	0.0082	17.6001	0.0482	5.9	458072915
☄	478.67	458075782	135.321947	-70.074819	36	36	090117.26-700429.3	57758.538	0	0	1	1	1	0.977									18.4041	0.0105	18.4526	0.0428													9.3	458075851
☄	478.85	458080488	134.632054	-69.957295	36	36	085831.69-695726.2	57806.5275	0	0	1	1	1	0.511																	19.5699	0.0139	19.6954	0.2077					5.5	458080487
☄	479.01	458071958	135.191873	-69.884353	35	37	090046.04-695303.6	57767.1356	0	0	9	2	1	0.955									19.9855	0.0092	19.9182	0.067	19.6174	0.0231	19.586	0.0454	19.3299	0.0182	19.3378	0.1767					6.6	458071957
☄	479.07	458068812	135.35271	-69.944168	32	23	090124.65-695639.0	57664.5112	0	0	15	3	1	0.965									18.8603	0.03	18.8517	0.0257	18.5281	0.0091	18.3796	0.0354	18.3275	0.0092	18.038	0.1137	18.2215	0.0238	18.1261	0.0663	13.7	458068811
☄	479.08	458080920	134.611163	-69.995571	43	59	085826.67-695944.0	57473.2395	2	6	39	3	1	0.98					18.6421	0.0184	18.2699	0.1687	17.1219	0.0226	16.799	0.0175	16.5945	0.01	16.3444	0.0072	16.2457	0.0227	16.07	0.0229	16.1244	0.0157	15.9628	0.0476	4.2	458080921
☄	479.31	458068392	135.246154	-69.897026	36	36	090059.07-695349.2	57744.6106	3	1	1	1	1	0.011																	18.3072	0.2768	14.3545	0.0145					4.1	458068390
☄	479.31	458076933	134.815716	-70.117372	84	58	085915.77-700702.5	57657.3913	0	0	17	4	1	0.49									20.364	0.1105	19.8617	0.2292	19.66	0.0463	19.1653	0.0504	19.1314	0.0446	18.5055	0.1221	18.6768	0.0417	18.1658	0.2066	8.6	458076932
☄	479.44	458076907	134.875569	-70.126239	31	32	085930.13-700734.4	57717.7758	0	0	12	2	1	0.977									19.104	0.0073	19.2005	0.0663	18.7378	0.0074	18.8664	0.0292	18.4651	0.0096	18.5914	0.0458	18.4891	0.0139	18.658	0.0941	10.8	458076910
☄	479.48	458075963	135.222042	-70.109556	23	49	090053.29-700634.4	57474.7568	0	0	9	2	1	0.944													20.2629	0.0129	20.2721	0.0977	18.6843	0.0387	18.7666	0.0509	18.2401	0.0382	18.2477	0.0702	7.0	458075850
